"CAVERSHAM KIDMORE END SCHOOL",,,,,,,,,,,,
Grid ref,SU698793,Long,-0.995648,Lat,51.508329,,,,,,,
Station no,RR4375,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,0.77,,
February,,,,,,,,,,0.34,,
March,,,,,,,,,,3.35,,
April,,,,,,,,,,1.86,,
May,,,,,,,,,,1.42,,
June,,,,,,,,,,4.78,,
July,,,,,,,,,,3.06,,
August,,,,,,,,,,2.27,,
September,,,,,,,,,,3.29,,
October,,,,,,,,,,5.32,,
November,,,,,,,,,,0.43,,
December,,,,,,,,,,2.82,,
Total,,,,,,,,,,29.71,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.71,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
