"GLASGOW GREEN",,,,,,,,,,,,
Grid ref,NS599645,Long,-4.239597,Lat,55.853281,,,,,,,
Station no,5173,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.57,4.59,1.01,4.82,2.63,2.35,5.51,3.60,1.21,3.32,,
February,2.74,1.31,1.18,3.29,2.05,1.02,2.95,2.61,1.38,3.29,,
March,2.72,2.20,1.08,2.21,1.73,2.31,3.58,1.02,1.33,1.99,,
April,2.23,2.14,1.82,1.35,1.11,1.00,1.92,1.12,2.91,2.58,,
May,1.95,1.76,2.17,3.43,3.18,1.72,2.48,2.87,0.95,2.95,,
June,2.15,2.61,2.86,2.86,1.73,2.74,1.76,3.20,2.68,2.30,,
July,3.21,2.32,4.84,3.04,1.57,4.97,3.27,5.12,4.28,4.64,,
August,3.85,3.05,3.08,5.83,1.09,4.59,3.92,5.02,0.48,3.02,,
September,3.04,2.82,2.54,4.16,3.32,4.64,2.75,3.70,1.04,2.48,,
October,0.85,3.55,1.95,8.52,2.55,2.66,3.74,2.86,4.46,2.48,,
November,6.07,2.18,5.59,5.63,1.83,1.27,1.82,1.69,4.34,4.40,,
December,5.15,3.02,4.26,4.70,5.90,4.06,3.54,4.44,6.06,4.50,,
Total,38.53,31.55,32.38,49.84,28.69,33.33,37.24,37.25,31.12,37.95,,
Calc annual,38.53,31.55,32.38,49.84,28.69,33.33,37.24,37.25,31.12,37.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
