WREXHAM-BRYMBO-OBS-JH-DARBY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ295535,Long,-3.053747,Lat,53.074058,Elevation,675,ft.,,,,,,,,,,,,
Station no,RR1895,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,2.33,1.11,1.41,0.85,5.6,1.6,2.23,0.05,3.32,,,,,
February,,,,,,,0.76,0.43,1.28,2.19,0.96,0.14,1.9,3.67,2.7,,,,,
March,,,,,,,1.67,1.05,1.15,3.05,1.89,1.69,0.58,0.99,1.68,,,,,
April,,,,,,,1.53,1.03,0.86,5.35,1.54,2.03,0.59,0.95,2.18,,,,,
May,,,,,,,5.66,2,1.21,3.03,2.49,3.79,2.6,1.48,3.5,,,,,
June,,,,,,2.13,1.57,1.06,3.01,0.83,2.23,6.99,3.33,1.75,3.21,,,,,
July,,,,,,0.85,2.17,1.77,7.66,3.06,2.52,2.19,2.9,3.3,3.39,,,,,
August,,,,,,2.1,1.18,2.02,4.33,4.74,3.98,4.02,3.05,2.29,3.17,,,,,
September,,,,,,2.82,2.68,3.31,0.83,3.17,1.23,3.61,3.5,2.18,1.03,,,,,
October,,,,,,5.64,3.72,2.57,1.92,5.03,2.45,4.61,6.64,2.35,2.86,,,,,
November,,,,,,3.15,1.66,1.36,6.94,2.32,7.95,3.06,1.59,2.07,3.16,,,,,
December,,,,,,0.92,3.69,2.19,2.64,2.66,0.96,4.61,0.26,1.63,2.17,,,,,
Total,,,,,,,28.62,19.9,33.24,36.28,33.8,38.34,29.17,22.71,32.37,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is the Brymbo Iron and Steel Works and it appears the gauge was there, or nearby from 1888 to Jan 1892. Prior to that the record states the gauge was 4 miles S of Brymbo and in Jan 1892 the gauge moved 0.25 miles W.",,,,,,,,,,,,,,,,,,,,
