CONGLETON BUGLAWTON VICARAGE (new gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ868635,Long,-2.19891,Lat,53.168449,Elevation,352,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,2.03,4.07,3.05,2.68,1.66,2.33,2.23,3.31,3.45,3.76,4.41,2.14,1.52,3.79,4.63,,,,,,,
February,,,,,,,,,0.87,0.21,3.24,0.19,3.97,0.39,3.39,2.04,4.94,1.02,2.19,2.5,3.25,1.57,1.93,,,,,,,
March,,,,,,,,,0.58,2.21,0.15,1.89,2.38,2.45,0.98,2.29,2.29,0.98,1.92,2.33,2.22,1.87,0.9,,,,,,,
April,,,,,,,,,0.91,2.45,4.11,2.81,1.22,2.09,3.11,1.18,3.4,0.18,1.74,1.9,1.64,1.4,1.59,,,,,,,
May,,,,,,,,,2.09,1.48,2.9,4.59,1.57,1.57,0.92,0.69,1.88,2.29,1.5,1.63,2.42,3.84,2.49,,,,,,,
June,,,,,,,,,2,1.56,4.77,0.74,4.04,3.06,4.42,2.38,1.83,2.69,1.81,1.43,0.7,0.91,2.55,,,,,,,
July,,,,,,,,,3.02,5.92,4.03,3.33,3.04,1.73,1.36,6.13,3.85,3.67,4.28,3.77,2.99,4.17,1.68,,,,,,,
August,,,,,,,,,4.4,4.29,5.03,2.73,0.71,1.92,2.04,2.44,1.82,3.54,1.76,1.07,4.35,1.99,3.03,,,,,,,
September,,,,,,,,,1.77,2.92,3.13,2.12,0.63,1.86,5.07,3.46,1.11,1.77,1,2.86,0.41,1.91,3.66,,,,,,,
October,,,,,,,,,4.49,5.38,1.08,6.17,4.68,3.41,5.55,2.89,2.11,3.83,2.64,3.41,4.04,4.08,,,,,,,,
November,,,,,,,,,6.36,3.4,4.43,2.42,1.31,2.1,4.71,3.64,1.22,3.49,4.88,6.41,2.68,0.69,,,,,,,,
December,,,,,,,,,4.98,3.36,1.49,0.97,0.33,4.52,4.33,2.68,2.77,3.74,1.89,2.84,1.19,2.92,,,,,,,,
Total,,,,,,,,,33.5,37.25,37.41,30.64,25.54,27.43,38.11,33.13,30.67,30.96,30.02,32.29,27.41,29.14,,,,,,,,
