"LAMMERMUIR HILLS (STOBSHEIL RES)",,,,,,,,,,,,
Grid ref,NT501617,Long,-2.798482,Lat,55.845915,,,,,,,
Station no,5100,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.42,2.18,0.81,2.49,2.06,2.20,3.44,1.99,1.35,3.67,,
February,3.52,0.66,1.03,2.09,2.18,2.77,3.31,2.24,0.59,3.63,,
March,3.93,1.65,0.36,2.20,1.57,1.34,2.10,1.70,1.19,1.70,,
April,3.77,1.88,3.56,0.77,1.12,0.62,1.20,2.01,2.50,1.43,,
May,2.62,1.91,2.09,6.30,1.86,0.74,1.64,2.44,0.57,1.74,,
June,2.15,2.58,2.68,2.55,0.81,2.29,1.32,3.19,2.68,1.25,,
July,2.81,2.04,4.35,2.67,2.97,5.02,5.43,5.20,2.52,3.24,,
August,7.15,3.48,2.59,5.66,0.98,8.50,8.21,3.34,0.81,4.23,,
September,1.29,4.53,3.62,3.69,1.70,3.37,1.99,2.43,0.70,2.48,,
October,0.65,2.92,1.89,5.02,2.54,1.43,1.85,1.56,2.40,6.20,,
November,5.41,4.56,2.81,4.35,1.52,1.07,1.89,0.94,7.18,,,
December,1.77,4.52,2.40,2.94,4.83,3.76,3.30,5.97,5.47,,,
Total,38.49,32.91,28.19,40.73,24.14,33.11,35.68,33.01,27.96,,,
Calc annual,38.49,32.91,28.19,40.73,24.14,33.11,35.68,33.01,27.96,29.57,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
