"MOULDSWORTH (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SJ503704,Long,-2.745946,Lat,53.228303,,,,,,,
Station no,2781,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.73,3.20,1.00,1.79,2.30,3.71,1.13,2.29,2.95,4.54,,
February,2.27,1.05,1.48,1.97,2.37,0.43,2.26,4.35,0.16,1.97,,
March,4.96,1.64,0.88,2.10,1.97,1.09,2.00,1.42,1.02,1.11,,
April,1.78,1.75,2.47,0.60,1.57,2.74,0.59,0.77,2.98,1.39,,
May,2.80,2.00,2.14,2.41,2.49,1.02,1.78,2.34,2.22,2.27,,
June,1.40,2.03,1.65,3.14,3.41,1.82,1.14,4.94,2.21,1.96,,
July,3.41,1.49,2.76,4.22,0.38,4.08,4.11,3.59,1.79,3.53,,
August,3.46,2.39,3.07,3.28,1.08,7.62,3.87,3.10,0.73,5.14,,
September,2.07,4.26,2.98,2.90,2.14,1.95,6.41,3.42,0.23,3.87,,
October,0.97,3.58,1.42,5.23,2.07,2.00,2.33,2.44,2.17,3.88,,
November,6.51,2.33,2.35,4.95,1.30,1.15,1.60,1.77,3.99,4.62,,
December,3.70,3.74,1.23,3.41,3.61,2.51,2.15,3.00,4.42,2.51,,
Total,35.06,29.46,23.43,36.00,24.69,30.12,29.37,33.43,24.87,36.79,,
Calc annual,35.06,29.46,23.43,36.00,24.69,30.12,29.37,33.43,24.87,36.79,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,,
