KILMACOLM ST OSWALD,,,,,,,,,,,,,,,,,,,,
Grid ref,NS3589869585,Long,-4.625677,Lat,55.89135,Elevation,350,ft,,,,,,,,,,,,
Station no,RR2795,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,8.8,5.32,2.89,5.6,,7.14,7.5,7.56,5.55,5.25,6.84,4.73,3.99,9.08,,,
February,,,,9.18,3.7,3.35,4.57,,5.75,3.25,4.29,8.91,6.05,5.44,7.04,8.9,6.01,,,
March,,,,7.96,2.58,5.03,5.3,,7.64,2.87,2.66,1.64,6.77,8.5,7.69,3.05,1.79,,,
April,,,,1.25,4.76,2.63,2.19,,2.34,4.75,5.19,3.79,2.98,5.51,4.22,4.08,4.11,,,
May,,,,2.5,2.16,1.11,7.6,,3.34,2.54,2.79,3.71,1.91,4.11,2,1.38,4.35,,,
June,,,,1.98,2.35,1.06,2.96,,3,3.69,2.2,4.25,5.98,4.7,0.69,3.86,2.06,,,
July,,,,3.36,2.24,2.73,2.82,,4.49,3.2,3.13,2.76,3.1,1.41,2.38,3.21,2.53,,,
August,,,,7.12,3.74,5.27,6.46,,4.3,2.97,9.58,4.26,4.51,1.23,6.09,2.62,4.51,,,
September,,,,3.29,4.9,3.15,2.57,,7.6,2.37,1.21,2.71,3.13,2.52,2.46,1.78,1.32,,,
October,,,,8.1,2.25,4.23,7.6,,1.87,9.11,2.79,4.69,6.48,4.71,2.09,3.39,9.71,,,
November,,,,3,2.7,7.07,5.59,,3.83,4.01,2.65,6.62,5.5,9.81,7.07,3.29,6.72,,,
December,,,,4.28,3.96,4.8,4.6,,5.89,7.12,4.35,9.53,12.44,6.13,11.42,5.66,5.16,,,
Total,,,,60.82,40.66,43.32,57.86,,57.19,53.38,48.4,58.42,64.1,60.91,57.88,45.21,57.35,,,
