"KILMACOLM VILLAGE",,,,,,,,,,,,
Grid ref,NS358691,Long,-4.626948,Lat,55.886964,,,,,,,
Station no,RR2795,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.95,7.77,3.68,7.57,4.12,4.30,8.06,8.14,2.72,4.57,,
February,4.07,2.25,2.92,6.49,4.55,1.79,3.82,4.08,2.24,6.84,,
March,3.16,4.94,1.68,4.58,2.67,3.69,6.01,1.36,4.51,2.56,,
April,3.53,3.38,2.48,2.80,3.48,1.76,2.57,1.81,4.19,6.71,,
May,1.86,2.32,2.29,3.70,3.72,2.91,3.23,4.41,1.51,2.65,,
June,1.85,4.09,1.38,4.39,2.79,3.23,2.09,3.74,4.41,2.95,,
July,3.14,2.75,5.37,3.02,1.20,5.18,5.83,6.06,8.13,4.21,,
August,5.64,5.36,4.13,5.61,1.44,6.16,6.02,4.81,1.06,4.20,,
September,5.03,5.20,6.59,8.58,5.28,6.75,3.83,6.18,1.25,2.77,,
October,1.65,8.09,3.91,11.19,4.96,4.09,6.35,4.59,7.92,4.03,,
November,9.20,2.25,9.69,9.65,3.22,2.83,2.32,2.02,7.83,6.21,,
December,11.97,5.91,6.89,8.58,10.55,8.94,6.52,6.12,11.27,7.46,,
Total,58.05,54.31,51.01,76.16,47.98,51.63,56.65,53.32,57.04,55.16,,
Calc annual,58.05,54.31,51.01,76.16,47.98,51.63,56.65,53.32,57.04,55.16,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
