"CWM HIRNUAT - MAESAFALLEN",,,,,,,,,,,,
Grid ref,SH948308,Long,-3.564124,Lat,52.864367,,,,,,,
Station no,4324/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,9.00,2.20,4.50,5.50,7.00,10.50,7.00,7.50,13.00,,
February,8.20,2.10,3.50,6.50,4.00,1.50,8.50,10.00,1.00,8.00,,
March,8.50,3.20,5.50,7.00,5.00,3.00,5.00,1.50,5.00,5.00,,
April,6.50,4.00,3.50,2.00,3.00,1.00,0.50,2.00,7.50,2.50,,
May,4.20,4.00,3.50,6.50,5.70,1.00,3.00,7.00,2.10,1.70,,
June,1.20,3.50,5.50,5.30,6.00,5.50,2.60,6.50,3.50,3.50,,
July,2.50,2.20,5.50,5.50,0.95,4.50,8.90,4.50,6.50,6.00,,
August,5.00,5.50,6.00,5.00,1.90,7.50,8.15,5.50,1.50,6.00,,
September,7.30,3.50,7.50,9.00,2.20,5.50,7.85,11.50,1.00,7.50,,
October,2.50,10.50,4.10,11.20,4.30,4.50,10.00,7.00,9.00,10.00,,
November,15.20,3.50,9.25,13.60,4.50,3.00,3.00,1.00,8.50,17.50,,
December,14.50,7.00,3.00,6.50,8.00,9.50,8.50,8.00,15.50,7.50,,
Total,80.80,58.00,59.05,82.60,51.05,53.50,76.50,71.50,68.60,88.20,,
Calc annual,80.80,58.00,59.05,82.60,51.05,53.50,76.50,71.50,68.60,88.20,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
