CWM-HIRNANT-MAESAFALLEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH948308,Long,-3.5641242,Lat,52.864367,Elevation,957,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4324/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,1.8,8.7,8.25,12,7.02,2.81,4.04,8.08,11.01,11.05,,15.5,,11.5,3.5,,5.2,9,2.2,4.5,5.5,7,10.5,7,,13
February,,,,,8.32,3.25,9.15,2.8,8,4.5,7.1,,6.01,3.07,,,,4.5,3.6,,8.2,2.1,3.5,6.5,4,1.5,8.5,10,1,8
March,,,,,1.55,3.65,3.55,2.3,4.09,5.5,4.05,4.03,2,1.05,,3.3,,2.5,1.9,,8.5,3.2,5.5,7,5,3,5,1.5,5,5
April,,,,,4.57,2.05,2.08,0.1,2.09,3.07,2,4.01,2.07,2.09,4.55,,3.5,2.5,7.5,5.3,,4,3.5,2,3,1,0.5,2,7.5,2.5
May,,,,,1,2.5,2.3,3.5,1.2,3.01,3,6.09,6.08,3.08,6,,1.9,1.7,5,,4.2,,3.5,6.5,5.7,1,3,7,2.1,1.7
June,,,,,4.67,4.9,2,5.5,3.04,1.03,0.9,0.5,6.02,4,,6.5,,8.3,1.5,3.15,1.2,3.5,5.5,5.3,6,5.5,2.6,6.5,3.5,3.5
July,,,,1.1,2.5,7,2.1,5.1,10.08,5,1.03,5.02,4,3.02,2.5,3.3,4.5,2.5,,6.7,2.5,2.2,5.5,5.5,0.95,4.5,8.9,4.5,6.5,6
August,,,,5.5,2,0.09,1.11,4.25,2.09,1.02,7.09,5.09,6.08,,,6.8,0.9,7.2,3.3,10,5,5.5,6,5,1.9,7.5,8.15,5.5,1.5,6
September,,,,3.65,8.5,5.5,1.6,1.08,0.92,4.9,1.02,4.01,7.01,,,,2.5,2.9,1.5,13,7.3,3.5,7.5,9,2.2,5.5,7.85,11.5,1,7.5
October,,,,7.55,9.15,4.3,3.05,11.05,3.08,8.05,9.06,8.07,7,10.05,,,2.1,5.2,,5.5,2.5,10.5,4.1,11.2,4.3,4.5,10,7,9,10
November,,,,2.45,6.7,6.9,1.07,10.03,12.75,13.06,5.02,1.03,4.01,13,,11.8,5.5,6.9,,,15.2,3.5,9.25,13.6,4.5,3,3,1,8.5,17.5
December,,,,10.87,3.7,8.8,4.8,6.09,4.06,5,5,8.09,4.05,6,7,,5.7,10.2,13.5,,14.5,7,3,,8,9.5,8.5,8,15.5,7.5
Total,,,,,54.46,57.64,41.06,63.8,58.42,56.95,49.31,,65.34,,,,,65.9,,,,,59.05,,51.05,53.5,76.5,71.5,,88.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s record and is Maesafallen. Altitudes match,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
