"STEVENAGE (BROOMIN GREEN)",,,,,,,,,,,,
Grid ref,TL229241,Long,-0.215067,Lat,51.901897,,,,,,,
Station no,967/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.30,1.86,1.00,1.08,2.11,3.75,0.98,2.19,2.77,2.13,,
February,4.09,0.66,1.68,2.22,1.78,0.53,2.55,2.34,0.06,1.99,,
March,3.23,2.57,0.61,2.35,1.11,0.82,1.10,1.18,2.15,1.28,,
April,2.76,1.48,2.34,0.24,0.47,1.06,0.26,1.19,1.89,0.44,,
May,2.52,1.69,1.58,2.65,3.84,0.43,1.03,1.90,0.91,1.17,,
June,0.87,1.20,1.78,3.47,2.33,3.89,1.75,5.66,1.06,1.80,,
July,1.34,0.44,2.93,3.26,0.13,2.44,3.64,2.72,3.92,2.61,,
August,4.73,4.28,1.69,3.59,1.06,5.06,2.14,2.30,1.38,4.18,,
September,2.58,3.97,1.74,1.76,1.31,2.15,3.01,3.24,0.13,3.76,,
October,1.12,2.26,2.91,1.89,3.01,1.70,2.61,2.18,1.84,5.44,,
November,4.61,3.52,1.33,4.67,1.57,0.99,2.09,2.01,2.08,3.71,,
December,1.76,2.52,0.41,1.81,1.85,3.48,1.95,2.81,3.83,3.60,,
Total,32.91,26.45,20.00,28.99,20.57,26.30,23.11,29.72,22.02,32.11,,
Calc annual,32.91,26.45,20.00,28.99,20.57,26.30,23.11,29.72,22.02,32.11,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
