HORWICH WALLSUCHES,,,,,,,,,,,,
Grid ref,SD655116,Long,-2.522792,Lat,53.599823,,,,,,,
Station no,RR6786,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,3.66,2.84,2.86,1.13,5.58,1.96,2.07,1.69,,
February,,,1.80,2.93,4.78,1.31,3.18,1.13,1.49,1.10,,
March,,,3.83,4.36,2.75,3.14,2.44,2.46,2.82,4.43,,
April,,,2.76,2.57,1.82,2.74,1.83,1.69,2.77,3.21,,
May,,,3.56,4.01,2.02,0.74,3.90,4.88,2.95,2.61,,
June,,,2.66,2.45,1.88,2.11,2.25,6.86,1.86,4.19,,
July,,,4.46,2.68,1.51,2.04,1.62,4.16,5.07,4.91,,
August,,,3.17,6.24,5.11,4.88,3.78,4.47,2.48,4.78,,
September,,,2.58,5.69,2.01,2.61,1.71,1.23,5.26,1.64,,
October,,,5.04,9.62,2.42,3.40,7.28,3.51,1.13,6.00,,
November,,,2.54,4.11,2.28,4.61,2.32,3.34,2.18,1.28,,
December,,,3.66,2.18,3.21,0.69,2.39,4.15,3.23,6.52,,
Total,,,39.72,49.68,32.65,29.40,38.28,39.84,33.31,42.36,,
Calc annual,0.00,0.00,39.72,49.68,32.65,29.40,38.28,39.84,33.31,42.36,,
Difference,NaN,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
