HORWICH WALLSUCHES,,,,,,,,,,,,,,,,,,,,
Grid ref,SD655116,Long,-2.522792,Lat,53.599823,Elevation,655,ft,,,,,,,,,,,,
Station no,RR6786,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,3.66,2.84,2.86,1.13,5.58,1.96,2.07,1.69,3.05,1.08,3.63,2.98,2.5,,,,,
February,,,1.8,2.93,4.78,1.31,3.18,1.13,1.49,1.1,3.02,3.44,1.45,2.2,2.37,,,,,
March,,,3.83,4.36,2.75,3.14,2.44,2.46,2.82,4.43,1.3,1.89,5.06,3.28,4.05,,,,,
April,,,2.76,2.57,1.82,2.74,1.83,1.69,2.77,3.21,2.24,3.21,0.11,6.16,0.99,,,,,
May,,,3.56,4.01,2.02,0.74,3.9,4.88,2.95,2.61,2.96,1.55,1.98,3.52,2.05,,,,,
June,,,2.66,2.45,1.88,2.11,2.25,6.86,1.86,4.19,3.5,2.99,4.86,2.3,1.71,,,,,
July,,,4.46,2.68,1.51,2.04,1.62,4.16,5.07,4.91,5.1,0.16,4.16,1.65,5.07,,,,,
August,,,3.17,6.24,5.11,4.88,3.78,4.47,2.48,4.78,5.92,3.95,8.6,2.87,3.11,,,,,
September,,,2.58,5.69,2.01,2.61,1.71,1.23,5.26,1.64,0.69,4.04,1.6,2.13,3.78,,,,,
October,,,5.04,9.62,2.42,3.4,7.28,3.51,1.13,6,2.13,1.98,4.52,2,2.72,,,,,
November,,,2.54,4.11,2.28,4.61,2.32,3.34,2.18,1.28,6.13,3.53,2.55,3.88,4.4,,,,,
December,,,3.66,2.18,3.21,0.69,2.39,4.15,3.23,6.52,3.33,6.62,2.41,1.92,5.59,,,,,
Total,,,39.72,49.68,32.65,29.4,38.28,39.84,33.31,42.36,39.37,34.44,40.93,34.89,38.34,,,,,
