"BROMSGROVE, LOWER BITTALL RESERVOIR - NEW GAUGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP021743,Long,-1.970583,Lat,52.366747,Elevation,457,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2437/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,1.55,4.74,1.89,1.82,2.06,2.88,1.1,3.72,3.25,3.3,5.98,3.36,3.98,3.89,5.32,2.42,1.73,2.16,2.2,5.03,1.7,0.84,3.19,2.59,1.18,1.09,2.49,3.68,1.47,2.83,3.45,5.98,,
February,,,,,,,,,,0.84,0.67,2.69,0.29,3.09,0.45,2.62,2.99,4.48,0.58,1.26,3.05,2.84,1.07,1.7,1.66,2.28,1.9,1.45,1.29,0.81,5.07,3,0.62,1.51,2.57,1.9,0.55,2.74,4.57,0.2,2.37,,
March,,,,,,,,,,0.16,2.72,0.28,1.73,2.53,2.54,0.64,2.17,2.8,0.41,1.87,1.65,2.64,2.36,1.04,0.49,0.96,1.01,6.24,1.12,1.83,1.2,5.31,2.99,1.76,2.68,3,1.06,2.61,1.58,1.84,1.28,,
April,,,,,,,,,,0.91,3.34,3.92,3.6,1.24,2.22,3.8,2.12,3.22,0.12,2.03,3.49,1.58,1.13,0.94,1.77,1.03,3,2.4,1.92,2.44,2.38,3,2.28,2.65,0.82,1.38,1.16,0.17,0.46,3.12,1.18,,
May,,,,,,,,,,1.83,2.13,4.46,6.2,1.51,0.95,1.07,0.99,2.29,2.07,1.2,2.81,2.57,3.8,3.89,0.67,2.73,2.58,2.26,2.58,3.05,1.92,3.38,2.88,2.17,3.08,5.06,0.67,1.52,2.74,1.17,1.72,,
June,,,,,,,,,,1.86,1.3,4.53,1.18,2.65,1.02,3.14,5.78,0.7,2.21,1.77,0.77,2.1,0.07,2.46,1.61,3.06,3.25,1.69,4.19,0.44,3.39,1.32,1.72,2.24,3.36,2.79,2.67,1.33,3.51,1.03,3.32,,
July,,,,,,,,,,1.72,4.46,4.55,2.68,1.85,1.33,0.7,5.74,2.65,3.31,5.57,2.89,4.76,1.75,1.37,3.87,2.47,1.99,2.74,1.61,3.28,2.81,0.99,1.31,3.5,3.59,0.78,3.8,3.46,3.34,1.67,4.78,,
August,,,,,,,,,,2.38,3.66,5.09,1.91,0.84,2.4,1.42,0.86,0.6,3.29,2.69,0.27,4.5,2.45,1.64,1.92,1.74,5.73,0.69,5.01,1.32,3.88,4.8,4.67,3.02,4.54,0.51,5.37,4.24,2.47,1.45,4.57,,
September,,,,,,,,,,1.01,4.53,2.87,3.08,0.75,2.36,3.71,3.49,2.05,2.34,0.88,1.62,0.77,1.27,1.79,4.2,1.74,3.97,1.37,2.76,1.73,4.32,2,1.67,2.72,2.2,2.05,3.16,4.76,4.28,0.17,4.77,,
October,,,,,,,,,,4.28,3.21,0.96,3.49,3.6,1.68,3.81,1.76,3.05,2.83,3.59,4.35,2.85,3.22,2.3,3.65,3.55,0.42,0.49,2.99,5.67,0.91,0.76,4.95,2.04,4.06,1.48,1.97,1.69,2.51,3.05,5.78,,
November,,,,,,,,,,8.02,3.59,3.29,1.68,1.15,2.37,5.82,2.75,1.59,3.24,3.98,6.97,3.72,1.57,1.89,4.91,0.46,6.17,1.88,1.86,3.62,4.78,7.77,2.31,1.34,5.94,3.25,0.81,2.22,2.56,4.01,4.19,,
December,,,,,,,,,,4.96,3.32,0.95,1,0.52,5.6,4,2.66,2.65,4.63,2.24,2.02,1.8,3.91,1.35,1.93,3.69,2.83,2.53,4.65,1.55,1.81,2.53,3.58,1.36,2.2,2.29,2.99,3.18,3.27,5.46,4.01,,
Total,,,,,,,,,,29.52,37.67,35.48,28.66,21.79,25.8,31.83,35.03,29.33,28.33,33.06,33.25,34.11,26.49,25.69,29.1,25.44,35.01,25.94,35.01,27.44,33.31,38.05,31.57,25.49,36.13,26.98,27.89,29.39,34.12,26.62,43.95,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
