BROMSGROVE LOWER BITTAL RESERVOIR - OLD GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP021743,Long,-1.970583,Lat,52.366747,Elevation,430,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,
January,,,,,,,,,0.89,0.82,3.29,2.21,2.36,1.8,1.91,3.77,1.04,2.05,0.84,3.6,3.38,0.56,0.68,1.78,3.08,1.14,4.07,1.03,1.11,1.3,2.76,0.93,3.78,4.33,0.95,3,1.14,2.41,2.01,3.72,2.8,2.64,4.2,2.08,2.76,1.88,3.68,3.9,4.48,1.55,4.62,1.97,,,,,,,,,,,
February,,,,,,,,,0.88,1.6,0.66,0.04,1.26,2.64,1.88,0.22,0.34,3.27,1.67,2.34,4.58,0.95,1.77,1.21,3.79,0.68,1.78,0.78,1.36,0.68,2.34,1.31,1.71,1.09,1.62,4.14,4.46,1.25,1.62,2.96,1.02,0.25,2.89,5.39,0.9,2.93,2.5,2.78,1.89,0.78,0.67,2.67,,,,,,,,,,,
March,,,,,,,,,2.88,2.69,1.73,1.16,0.95,0.45,1.05,2.06,2.49,3.15,0.73,0.77,0.8,1.99,1.68,4.07,1.86,3.84,1.36,0.89,2.47,3.4,0.79,2,4.35,4.52,2.59,0.54,2.91,1.87,1.57,4.87,2.53,1.2,2.35,2.49,1.07,1.07,0.63,2.85,2.72,0.16,2.69,0.29,,,,,,,,,,,
April,,,,,,,,,1.45,4.29,1.06,2.1,1.02,0.28,2.02,2.43,1.07,2.04,1.99,2.19,1.46,1.84,2.89,1.45,1.18,2.48,1.3,1.92,2.45,2.25,2.4,0.95,0,3.26,0.93,0.91,1.31,1.54,3.14,2.3,4.46,1.09,3.09,3.01,3.95,2.38,2.87,1.98,1.96,0.89,3.3,3.89,,,,,,,,,,,
May,,,,,,,,,0.57,3.37,1.98,3.69,1.65,1.81,2.36,1.07,0.35,1.24,4.53,1.99,1.53,0.91,2.91,3.45,3.29,0.45,2.54,3.45,2.31,1.41,1.71,1.16,3.09,2.5,1.63,2.42,2.92,3.54,2.61,0.91,2.27,1.77,1.01,1.83,5.78,3.71,4.52,2.09,0.55,1.76,2.11,4.4,,,,,,,,,,,
June,,,,,,,,,2.99,0.85,1.8,2.43,2.45,1.49,2.16,1.1,2.59,3.33,0.93,2.18,2.15,2.17,3.01,2.22,0.49,3.51,3,2.54,1.83,4.19,2.19,1.71,5.9,1.16,2.98,2.17,1.33,2.85,0.99,1.41,1.9,0.32,0.91,0.48,2.55,0.29,1.96,3.91,2.93,1.81,1.29,4.51,,,,,,,,,,,
July,,,,,,,,,6.89,2.29,2.21,3.38,2.08,2.58,4.11,2.21,1.64,0.34,0.94,1.45,1.74,1.84,1.25,2.15,3.64,1.03,1.08,2.31,2.63,3.25,2.75,0.35,3.31,1.31,3.65,6.4,3.15,1.76,1.54,3.11,5.86,0.79,4.94,2.83,3.25,3.4,1.7,7.24,1.21,1.62,4.44,4.53,,,,,,,,,,,
August,,,,,,,,,2.97,3.1,2.69,3.34,3.12,1.86,3.06,3.05,2.24,3.97,3.38,0.98,2.67,0.64,5.42,4.69,1.76,5.53,0.89,3.23,2.77,1.94,5.42,2.91,8.18,1.33,2.13,1.95,3.94,5.41,1.77,2.63,3.04,3.51,4.8,2.24,3.82,2.9,2.37,4.73,1.91,2.32,3.68,5.13,,,,,,,,,,,
September,,,,,,,,,1.03,2.96,1.01,1.92,2.1,1,1.94,0.3,4.57,2.33,0.73,2.24,0.44,0.35,1.59,3.25,2.21,1.35,1.23,0.62,1.88,4.53,0.9,1.74,0.82,1.82,1.26,0.72,1.68,2.37,5.63,1.88,2.88,1.27,2.68,3,3.7,4.08,1.04,4.97,0.6,0.98,4.54,2.84,,,,,,,,,,,
October,,,,,,,,,0.6,3.04,1.45,6.86,2.24,2.41,3.68,2.72,2.3,1.53,2.89,2.09,3.21,1.39,2.09,6.4,0.78,1.36,4.97,5.76,2.24,3.01,2.11,2.05,2.95,4.03,2.64,3,3.97,3.07,1.77,2.97,3.17,1.83,0.43,3.85,3.8,3.91,2.47,1.89,4.53,4.15,3.14,0.95,,,,,,,,,,,
November,,,,,,,,,4.35,1.3,3.22,2.87,2.64,1.93,3.21,3.56,1.31,2.07,2.37,1.07,2.31,0.77,2.57,2.12,1.49,2.65,3.39,2.21,2.28,0.8,4.37,2.87,1.92,3.01,3.08,3.04,3.73,1.41,1.25,1.31,0.76,2.04,1.35,1.87,2.23,1.71,5.48,3.72,3.39,7.65,3.56,3.42,,,,,,,,,,,
December,,,,,,,,,2.24,1.4,0.67,3.1,1.8,2.41,2.23,2.46,3.54,2.29,1.93,1.99,4.28,4.96,1.69,1.62,2.48,0.87,2.15,3.32,2.2,5.16,5.41,4.46,4.13,1.24,6.55,4.99,3.63,1.23,2.6,4,2.37,1.87,3.99,3.12,3.21,2.68,0.49,3.27,2.38,4.8,3.32,0.93,,,,,,,,,,,
Total,,,,,,,,,27.74,27.71,21.77,33.1,23.67,20.66,29.61,24.95,23.48,27.61,22.93,22.89,28.55,18.37,27.55,34.41,26.05,24.89,27.76,28.06,25.53,31.92,33.15,22.44,40.14,29.6,30.01,33.28,34.17,28.71,26.5,32.07,33.06,18.58,32.64,32.19,37.02,30.94,29.71,43.33,28.55,28.47,37.36,35.53,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
