BUDLEIGH-SALTERTON-RAVENSHAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY058822,Long,-3.3333,Lat,50.6319,Elevation,50,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,2.7,1.23,0.6,4.45,2.37,1.9,2.95,4.35,4.3,0.65,2.4,0.9,,,2.75,1.05,,,,,,,
February,,,,,,,,0.42,0.89,1.8,1.2,0,1.7,4.13,1.33,0.03,0.4,3.85,1.85,,,1,1.5,,,,,,,
March,,,,,,,,1.5,3.8,2.9,1.3,2.47,0.73,0.1,1.4,2.6,3.4,4.3,1.7,,,3.09,1.8,,,,,,,
April,,,,,,,,0.82,1.7,2,3.21,1.53,1,0.32,2.2,1.8,0.2,3.08,1.25,,,3.1,1.35,,,,,,,
May,,,,,,,,1.45,1.8,2.42,1.5,3.28,0.82,0.93,2.95,0.6,0.01,1.7,3.5,,,1,1.8,,,,,,,
June,,,,,,,,0.35,2.4,1.02,2.9,2.6,1.74,0.6,2.1,1.62,2.1,2.2,1.08,,,1.5,2.85,,,,,,,
July,,,,,,,,0.84,5.05,3.1,2.8,2.87,1.92,5.1,4.65,2.38,1.38,1.52,0.1,,,3.7,2.03,,,,,,,
August,,,,,,,,0.85,2.05,2.4,2.8,5.65,3.43,1.27,2.7,2.55,1.6,4.6,1,,,1.3,2.8,,,,,,,
September,,,,,,,,2.7,0.8,1.2,0.8,2.35,1.72,1.53,2.9,0.75,4.7,2.8,0.92,,,3.5,2.5,,,,,,,
October,,,,,,,,3.63,1.44,3.6,1.05,7.83,4.4,2.2,4,3.52,2.5,0.9,4.75,,,1.6,2.4,,,,,,,
November,,,,,,,,4.03,7.89,1.33,2.53,4.15,2.8,1.93,6.02,6.2,0.77,1.18,3.4,,,0.65,3.95,,,,,,,
December,,,,,,,,2.5,3,2.07,3.73,4.52,1.28,4.1,1.8,3.7,6.8,6.1,3.28,,,6.55,1.9,,,,,,,
Total,,,,,,,,21.79,32.05,24.44,28.27,39.62,23.44,25.16,36.4,30.05,24.51,34.63,23.73,,,29.74,25.93,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cannot find Ravenshaw on maps, but the 1899 census has it in Little Knowle near Park Lodge – so to match elevation it muct have been one of these houses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No explanation as to why no data for 1899 and 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
