STOCKTON RIMSWELL,,,,,,,,,,,,
Grid ref,NZ415196,Long,-1.359620,Lat,54.569926,,,,,,,
Station no,RR6324,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.26,1.37,0.42,2.01,1.51,0.25,2.89,0.80,1.24,0.53,,
February,4.16,1.65,1.05,0.72,1.51,0.56,1.14,1.24,1.37,1.40,,
March,1.41,1.74,0.67,1.67,1.18,1.29,1.49,1.00,2.91,4.14,,
April,1.13,0.99,1.42,1.09,0.94,2.33,1.22,1.85,2.39,1.97,,
May,1.29,1.19,2.68,3.02,3.06,0.51,3.11,3.87,2.27,1.85,,
June,2.85,1.05,1.85,2.60,1.14,1.36,1.10,3.10,0.50,2.41,,
July,1.67,3.46,2.50,2.86,1.79,0.89,1.05,1.50,2.84,2.91,,
August,5.22,2.16,1.48,1.24,2.48,3.32,3.17,2.07,1.39,4.78,,
September,0.76,0.95,0.62,3.01,1.49,2.26,0.50,0.42,1.89,2.03,,
October,6.84,1.94,2.95,6.33,0.52,2.24,4.61,4.31,1.56,2.96,,
November,1.94,4.11,0.95,1.73,1.88,4.25,3.03,2.23,1.33,0.99,,
December,1.87,2.95,1.52,0.79,2.05,0.44,2.30,2.65,0.68,2.73,,
Total,31.40,23.56,18.11,27.07,19.55,19.70,25.61,25.04,20.37,28.70,,
Calc annual,31.40,23.56,18.11,27.07,19.55,19.70,25.61,25.04,20.37,28.70,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
