STOCKTON HOWDEN HOUSE & RIMSWELL,,,,,,,,,,
Grid ref,NZ423226,Long,-1.346816,Lat,54.596818,Elevation,135,ft,,
Station no,RR6324,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,1.33,1.27,,,,,,,
February,,0.09,2.4,,,,,,,
March,,1.47,1.21,,,,,,,
April,,1.89,1.4,,,,,,,
May,,1.85,2.14,,,,,,,
June,,0.26,3.62,,,,,,,
July,,4.34,1.47,,,,,,,
August,,3.69,3.25,,,,,,,
September,,2.05,2.25,,,,,,,
October,,2.08,5.6,,,,,,,
November,,1.39,0.93,,,,,,,
December,,1.61,1.15,,,,,,,
Total,,22.05,26.69,,,,,,,
,,,,,,,,,,
1893 gauge moved to Rimswell,,,,,,,,,,
