MELTHAM HAREWOOD LODGE - old gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,SE1082610990,Long,-1.837902,Lat,53.595374,Elevation,514,ft,,,,,,,,,,,,
Station no,3194,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,0.46,5.33,7.09,7.21,2.85,5.51,1.95,1.46,2.12,6.36,,,,,,,,,
February,,5,3.36,2.96,3.39,4.91,0.69,0.96,1.36,2.47,0.89,,,,,,,,,
March,,5.32,3.15,1.34,2.1,2.55,3.89,2.4,3.96,3.26,3.02,,,,,,,,,
April,,0.99,4.97,2.65,2,1.97,3.63,1.25,2.89,3.66,1.79,,,,,,,,,
May,,2.77,1.53,1.23,2.2,2.2,6.04,2.34,1.08,2.88,3.39,,,,,,,,,
June,,1.8,5.57,5.51,0.88,4.14,1.35,0.37,3.2,0.69,2.42,,,,,,,,,
July,,1.95,4.12,3.32,3.53,1.35,4.38,1.62,6.82,2.71,2.39,,,,,,,,,
August,,5.04,2.26,2.77,1.46,1.35,1.65,1.75,2.94,4.28,4.67,,,,,,,,,
September,,2.45,2.59,6.01,2.11,4.59,2.56,3.24,0.83,2.59,1.12,,,,,,,,,
October,,5.2,4.06,5.65,1.96,6.99,5.07,3.52,1.87,5.96,2.03,,,,,,,,,
November,,4.82,6.49,4.78,1.76,2.53,2.33,2.19,9.37,1.57,5.42,,,,,,,,,
December,,4.45,5.86,2.83,5.56,1.69,7.54,2.59,2.9,2.77,0.72,,,,,,,,,
Total,,40.25,49.29,46.14,34.16,37.12,44.64,24.18,38.68,34.96,34.22,,,,,,,,,
