CHURCH-STRETTON-NEAR-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,SO541982,Long,-2.6788044,Lat,52.579664,Elevation,750,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,2.48,1.63,0.58,,,,,,,,,
February,,,,,,,,,1.39,2.57,2.78,,,,,,,,,
March,,,,,,,,,0.89,1.08,1.52,,,,,,,,,
April,,,,,,,,,1.74,2.94,2.03,,,,,,,,,
May,,,,,,,,,5.82,2.15,3.01,,,,,,,,,
June,,,,,,,,,3.91,5.52,3.92,,,,,,,,,
July,,,,,,,,,1.21,3.46,6.06,,,,,,,,,
August,,,,,,,,,6.58,5.98,0.95,,,,,,,,,
September,,,,,,,,,2.45,2.84,2.79,,,,,,,,,
October,,,,,,,,,5.02,1.27,6.11,,,,,,,,,
November,,,,,,,,,3.77,1.03,2.83,,,,,,,,,
December,,,,,,,,,2.51,1.04,3.44,,,,,,,,,
Total,,,,,,,,,37.77,31.51,36.02,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,
"NGR is for PreenCottage, which may not be correct. The record says the gauge is 400 yards from Preen Manor, which fits this description. The observer, Rev Paley was vicar for the church attached to the manor and there is no obvious vicarage or retory in the area, making the cotage the more likley location",,,,,,,,,,,,,,,,,,,,
