CHURCH-STRETTON-PREEN-COTTAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO541982,Long,-2.6788044,Lat,52.579664,Elevation,760,ft.,,,,,,,,,,,,,
Station no,2283,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,4.2,3.2,4.15,1.09,3.86,2.32,3.29,2.66,5.15,1.67,5.93,1.76,3.79,2.23,2.91,0.99,,,,,
February,2.19,0.36,3.61,5.2,0.33,3.48,1.7,2.51,2.13,0.5,0.89,2.15,0.23,2.91,0.3,3.03,,,,,
March,3.55,1.76,3.09,1.23,1.03,1.07,0.48,2.41,2.04,0.21,3.19,0.27,2.37,2.25,1.88,0.95,,,,,
April,5,1.49,2.7,1.98,3.41,2.1,2.39,1.91,1.67,0.79,3.4,3.35,4.01,0.93,2.59,3.41,,,,,
May,2.87,1.51,1.05,1.66,5.76,2.71,3.12,1.23,1.14,2.31,2.48,4.94,4.96,1.23,1.2,,,,,,
June,2.3,0.59,0.73,0.43,2.28,0.06,1.74,4.21,3.82,3.01,0.76,3.7,1.19,3.19,1.53,,,,,,
July,5.24,0.79,3.78,2.9,3.73,2.25,2.45,1.81,1.43,1.88,4.85,2.65,4.17,2.4,0.95,,,,,,
August,1.11,3.88,2.25,3.63,2.92,2.94,1.94,4.5,2.86,1.71,2.23,5.47,1.46,0.88,2.52,,,,,,
September,1.84,0.53,2.16,2.01,4.1,3.53,1.09,4.02,1,1.03,3.33,2.6,2.41,0.93,2.02,,,,,,
October,2.85,2,0.92,4.58,4.86,3.78,2.52,2.41,4.36,4.01,3.47,0.83,3.64,5.38,2.13,,,,,,
November,0.92,2.17,1.2,1.97,1.64,1.56,6,4.57,3.75,6.06,3.24,5.73,1.92,0.76,2.45,,,,,,
December,2.65,2.38,3.81,2.96,4.24,2.49,0.58,1.73,2.05,6.13,3.77,1.36,1.35,0.57,4.79,,,,,,
Total,34.72,20.66,29.45,29.64,38.16,28.29,27.3,33.97,31.4,29.31,37.54,34.81,31.5,23.66,25.27,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,
"NGR is for PreenCottage, gauge moved 300 yards NW to Preen Cottage in 1921 from Preen Manor",,,,,,,,,,,,,,,,,,,,,
"1920 Annual Total is in brackets but all of the monthy readings are completed. The Gauge moved from the manor in the year and the note on the cottage reord could say August, this might be why the total is in brackets. Reading left in this record",,,,,,,,,,,,,,,,,,,,,
