CHURCH-STRETTON-PREEN-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO543981,Long,-2.6758392,Lat,52.578782,Elevation,700,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,1.95,3.54,2.36,1.68,0.61,0.62,2.72,3.57,3.59,2.21,4.14,3.41,0.74,0.65,3.89,2.42,2.48,2.29,2.3,5.15,0.76,2.23,0.48,4.68,2.63,1.96,1.01,2.53,2.85,0.5,3.37,1.49,1.29,1.2,2.13,0.55,3.4,3.82,1.19,3.78,1.15,2.2,2.24,2.96
February,,,,,,,2.15,2.99,1.29,2.63,2.62,3.72,3.11,3.13,3.15,3.11,1.15,0.66,0.85,1.63,0.65,0.09,1.85,3.38,2.71,0.25,0.48,2.32,1.62,3.38,3.49,1.32,0.88,2.17,3.86,0.78,2.04,1.57,1.48,0.83,3.12,1.85,1.43,1.47,2.84,4.21,5.09,0.92,2.29,3.63
March,,,,,,,3.08,2.13,1.12,1.04,1.53,2.18,2.06,1.53,2.74,1.64,2.78,1.73,3.24,2.42,1.24,1.41,1.04,0.62,1.51,1.51,2.34,3.08,0.56,1.08,1.07,2.97,1.42,3.82,1.5,3.74,1.28,0.7,2.97,3.04,0.59,1.72,3.79,5.3,2.72,0.9,4.08,2.4,1.41,4.32
April,,,,,,,1.68,2.7,1.64,2.85,2.04,0.71,3.28,0.93,1.55,2.65,1.13,1,2.01,5.28,0.95,2.49,1.14,0.31,2.04,2.43,1.24,1.68,1.47,2.39,1.29,2.29,2.28,1.15,1.06,1.78,0.91,2.27,2.46,2.21,1.88,1.27,0.17,4.22,1.28,1.54,1.2,2.15,2.05,1.93
May,,,,,,,0.42,2.7,5.82,2.2,2.97,1.75,2.07,1.82,1.21,1.96,8.39,2.4,0.86,3.2,2.23,3.95,2.99,2.38,3.51,0.7,0.19,0.98,3.17,2.09,2.18,0.91,2.36,3.88,2.01,0.92,1.54,2.53,2.31,0.86,1.84,1.19,2.46,2.71,1.23,2.79,2.6,3.97,3.72,1
June,,,,,,,1.53,1.66,3.81,5.39,3.92,3.94,3.6,2.09,3.08,3.54,1.17,1.44,2.41,0.48,1.47,2.87,2.01,1.76,1.92,0.76,1.4,2.61,1.12,2.38,2.27,2.83,2.63,2.08,0.92,3.24,2.01,3.3,2.22,3.93,2.24,2.44,5.18,1.32,2.73,1.42,1.83,2.07,0.89,0.84
July,,,,,,,2.54,3.49,1.07,3.39,5.86,1.12,3.68,2.75,3.27,1.48,2.53,1.4,4.81,3.64,2.59,1.5,1.84,2.42,2.47,2.39,1.77,0.83,0.85,1.68,2.97,3.18,1.49,2.45,3.67,1.28,0.91,2.16,2.63,2.44,2.22,0.42,3.12,1.11,2.92,6.02,2.91,1.99,2.92,2.96
August,,,,,,3.35,2.65,4.74,6.4,6.09,0.96,4.95,2.18,1.04,2.15,3.45,1.9,2.43,3.75,2.82,3.74,3.72,2.61,2.27,3.17,2.33,1.24,3.13,3.64,0.71,3.39,1.31,5.2,4.67,2.32,4.79,1.6,2.66,3.81,1.96,3.63,1.66,6.13,2.14,2.53,5.53,3.04,7.88,1.46,2.73
September,,,,,,3.14,3.98,3.31,2.39,2.73,2.81,1.27,2.06,5.6,1.47,3.46,2.78,1.78,0.5,1.69,0.92,3.12,2.77,1.78,1.78,0.58,4.02,2.11,1.12,2.27,0.76,0.83,1.22,3.26,1.68,1.4,0.58,0.55,1.85,2.6,0.85,1.93,0.89,1.78,1.07,1.25,1.08,1.57,5.51,2.12
October,,,,,,4.64,2.92,3.04,4.9,1.31,6.12,3.11,5.17,3.23,1.43,4.93,4.37,2.76,1.15,4.12,1.66,5.81,3.72,2.7,3.08,2.86,3.22,1.09,4.37,3.38,3.13,2.23,3.33,5.79,0.41,1.58,4.33,7.33,2.17,4.29,3.84,2.77,3.27,4.88,2.31,2.98,4.84,3.58,1.77,3.05
November,,,,,,3.45,3.33,3.72,3.96,1.11,2.74,2.94,4.22,4.4,1.93,3.61,1.96,2.25,5.5,1.3,4.36,2.56,1.87,1.46,3.34,4.41,1.55,1.96,1.81,2.02,2.42,1.53,2.06,2.19,1,3.2,3.09,2.36,2.15,0.68,4.7,3.63,2.64,2.53,4.46,2.91,2.97,1.52,1.98,1.69
