BALLANTRAE GLENDRISHAIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX 055 760,Long,-5.044813,Lat,55.040927,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,2.14,1.24,1.06,3.11,5.66,7.98,3.75,3.76,4.84,3.35,3.96,4.96,2.33,2.39,,,,,,,
February,,,,,,,,,,1.32,3.92,6,2.2,7.09,4.23,4.8,2.55,1.85,1.21,2.74,1.53,0.38,0.76,,,,,,,
March,,,,,,,,,,2.74,2.85,8.36,2.43,2.42,4.75,3.85,4.14,1.84,1.77,2.54,2.78,2.29,0.87,,,,,,,
April,,,,,,,,,,2.03,3.8,1.27,2.21,1.61,2.05,3.75,1.55,2.69,1.94,2.71,1.14,3.31,0.85,,,,,,,
May,,,,,,,,,,2.26,1.62,1.25,1.55,3.07,2.5,1.54,4,1.79,3.42,3.42,2.86,1.81,,,,,,,,
June,,,,,,,,,,3.85,2.83,3.85,2.93,3.16,0.92,0.94,0.95,0.73,3.21,0.49,5.03,1.26,,,,,,,,
July,,,,,,,,,,4.52,3.02,3.65,6.02,3,3.92,2.2,3.16,3.53,4.58,3.07,2.79,1.53,,,,,,,,
August,,,,,,,,,,6.64,0.84,2.95,2.93,5.12,2.36,2.37,2.57,2.61,4.75,5.01,2.34,6.4,,,,,,,,
September,,,,,,,,,,7.21,3.5,3.81,4.18,3.76,3.95,8.2,4.42,3.59,1.88,2.99,5.35,4.79,,,,,,,,
October,,,,,,,,,,2.4,0.59,3.56,3.05,4.26,4.03,5.16,3.64,1.89,1.12,4.66,2.19,7.3,,,,,,,,
November,,,,,,,,,,1.1,4.95,4.85,6.42,5.12,4.35,3.15,4.46,3.14,5.08,3.22,11.73,5.19,,,,,,,,
December,,,,,,,,,,1.98,4.22,4.24,4.1,4.45,6.02,2.16,5.62,4.13,4.68,4.14,2.53,6.06,,,,,,,,
Total,,,,,,,,,,38.19,33.38,44.85,41.13,48.72,47.06,41.87,40.82,32.63,36.99,38.95,45.23,42.65,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
