"BASINGSTOKE PUMPING STATION",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,RR4016,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.67,3.10,3.16,,,,,,,,,
February,0.75,0.33,2.39,,,,,,,,,
March,1.93,1.34,1.94,,,,,,,,,
April,3.86,0.70,3.18,,,,,,,,,
May,1.47,1.59,1.03,,,,,,,,,
June,1.53,0.28,1.23,,,,,,,,,
July,5.41,0.24,4.03,,,,,,,,,
August,1.73,1.91,2.50,,,,,,,,,
September,1.58,1.03,1.56,,,,,,,,,
October,2.49,0.54,0.91,,,,,,,,,
November,1.46,1.59,1.58,,,,,,,,,
December,2.56,1.55,3.12,,,,,,,,,
Total,28.44,14.20,26.63,,,,,,,,,
Calc annual,28.44,14.20,26.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
