"BASINGSTOKE PUMPING STATION",,,,,,,,,,,,
Grid ref,SU626522,Long,-1.104147,Lat,51.265527,,,,,,,
Station no,RR4016,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.16,1.77,0.94,,
February,,,,,,,,1.56,1.19,0.47,,
March,,,,,,,,1.13,3.42,3.42,,
April,,,,,,,,4.83,3.70,1.73,,
May,,,,,,,,2.37,1.45,1.47,,
June,,,,,,,,1.60,0.73,5.46,,
July,,,,,,,,1.63,1.96,2.79,,
August,,,,,,,,2.22,2.96,2.04,,
September,,,,,,,,0.16,1.70,2.76,,
October,,,,,,,,6.47,1.61,5.67,,
November,,,,,,,,2.66,0.84,0.84,,
December,,,,,,,,4.35,2.55,4.06,,
Total,,,,,,,,29.14,23.88,31.65,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.14,23.88,31.65,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
