BASINGSTOKE-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU625523,Long,-1.1055,Lat,51.26702,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929
January,,,,,,,,0.16,1.77,0.94,2.52,1.12,3.6,3.61,0.79,3.88,1.45,1.06,3.87,3.69,3.67,3.1,3.16,,,,,,,
February,,,,,,,,1.56,1.19,0.47,4.24,1.4,2.39,1.01,4.23,4.84,5.29,0.93,1.59,1.7,0.75,0.33,2.39,,,,,,,
March,,,,,,,,1.13,3.42,3.42,1.1,2.02,4.35,3.11,4.59,0.9,4.54,2.07,0.93,4.98,1.93,1.34,1.94,,,,,,,
April,,,,,,,,4.83,3.7,1.73,2.29,1.37,0.1,3.5,1.23,1.09,0.83,2.03,3.29,2.21,3.86,0.7,3.18,,,,,,,
May,,,,,,,,2.37,1.45,1.47,2.03,1.87,1.69,2.27,1.21,4.42,1.46,1.77,1.37,0.31,1.47,1.59,1.03,,,,,,,
June,,,,,,,,1.6,0.73,5.46,3.88,1.65,4.28,1.03,0.43,0.73,1.86,2.47,0.83,0.89,1.53,0.28,1.23,,,,,,,
July,,,,,,,,1.63,1.96,2.79,1.99,0.02,2.11,1.9,2.86,4.71,1.43,4.61,5.83,1.34,5.41,0.24,4.03,,,,,,,
August,,,,,,,,2.22,2.96,2.04,2.24,0.94,5.62,1.27,1.82,2.38,4.45,4.48,1.41,,1.73,1.91,2.5,,,,,,,
September,,,,,,,,0.16,1.7,2.76,0.38,1.2,2.61,2.59,1.05,3.57,1.93,2.66,5.46,,1.58,1.03,1.56,,,,,,,
October,,,,,,,,6.47,1.61,5.67,4.35,3.23,3.29,3.81,2.13,3.14,4.82,4.34,1.45,0.98,2.49,0.54,0.91,,,,,,,
November,,,,,,,,2.66,0.84,0.84,3.35,3.91,1.98,2.92,3.08,2.35,4.14,0.65,2.76,1.72,1.46,1.59,1.58,,,,,,,
December,,,,,,,,4.35,2.55,4.06,4.74,7.21,4.33,1.55,7.68,6.97,3.18,1.16,2.83,5.67,2.56,1.55,3.12,,,,,,,
Total,,,,,,,,29.14,23.88,31.65,33.11,25.94,36.35,28.57,31.1,38.98,35.38,28.23,31.62,,28.44,14.2,26.63,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rain gauge marked on 1909 OS map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Aug Sept estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
