RIVINGTON (HORDERN STOOPS),,,,,,,,,,,,,,,,,,,,
Grid ref,SD650154,Long,-2.530775,Lat,53.633944,Elevation,1065,ft,,,,,,,,,,,,
Station no,2997/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.62,5,4.62,9.42,3.47,3.85,4.8,4.15,2.4,4.45,2.8,6.15,3.15,4.65,3.4,6.9
February,,,,,5.6,5.98,,2.44,2.73,5.55,3.45,1.78,1.6,3.67,2.8,0.95,3.65,,0.76,4.2
March,,,,,1.78,1.16,8.7,1.82,2.78,2.7,5.25,2.8,2.15,3.1,3.2,1.85,3.7,2.27,1.99,1.8
April,,,,,2.54,1.32,3.7,2.42,4.03,3.1,2.77,4.05,3.55,1.05,3.35,3.3,0.8,1.8,2.61,2.83
May,,,,3.4,4.12,1.78,3.44,2.54,3.5,1.98,3.05,2.75,2.7,3.45,4.45,1.5,2.35,5.02,1.68,2.57
June,,,,3.75,5.1,3.84,2.86,6.25,1.52,3.45,1.5,4.45,2.95,4.8,4.25,2.85,2.3,5.15,2.45,1.5
July,,,,5,3.4,4.22,3.83,3.64,3.22,5.08,3.9,3.83,5.65,8.5,1,7.5,7.55,4.65,7.69,9.2
August,,,,3.92,3.12,8.9,0.28,6.68,3,7.65,5.55,4.5,5.35,6.7,1.8,13.7,7.8,6.98,0.75,6.07
September,,,,7.1,2.54,7.76,4.09,3.62,2.48,8.8,3.5,5.45,4.6,6,5.15,4.65,8.95,6.07,0.45,3.8
October,,,,5.95,6.65,1.84,0.96,3.5,5.32,3.62,0.72,5.35,2.5,8.6,2.45,3.35,7.4,,5.1,5.3
November,,,,7.18,0.62,7.3,5.22,2.6,6.15,7.28,9.8,2.8,5.75,8.15,3.25,1.8,2.15,,6.1,8.55
December,,,,5,3.46,4.98,4.1,4.55,6.18,4.5,9.45,4.45,2.2,6.05,6.35,4.9,5.55,4.59,9.7,5.13
Total,,,,,43.55,54.08,,49.48,44.38,57.56,53.74,46.36,41.4,64.52,40.85,52.5,55.35,,42.68,57.85
,,,,,,,,,,,,,,,,,,,,
1947 Feb and total estimated therefore removed,,,,,,,,,,,,,,,,,,,,
"1958 Feb, Oct, Nov and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
