"BEDFORD ST PETER'S STREET 35 DE PARYS AVENUE",,,,,,,,,,,,
Grid ref,TL050501,Long,-0.467166,Lat,52.139228,,,,,,,
Station no,RR2186,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.91,0.65,0.38,2.17,1.79,0.63,3.04,0.77,1.08,,,
February,3.72,0.66,1.07,0.87,2.75,0.63,1.26,0.79,0.93,,,
March,0.56,1.86,0.90,2.54,0.95,2.29,1.55,0.75,2.53,,,
April,1.07,2.10,1.03,1.35,0.85,1.37,0.61,1.67,2.76,,,
May,1.00,1.10,1.73,2.52,1.72,0.69,1.47,4.22,1.34,,,
June,2.62,1.14,2.64,4.09,0.46,4.22,2.99,1.17,0.95,,,
July,1.77,2.42,1.82,2.97,3.04,0.39,0.52,2.24,2.61,,,
August,2.56,1.47,1.82,3.04,1.66,2.54,0.99,1.90,2.47,,,
September,0.34,1.40,1.11,2.18,1.39,1.66,1.18,0.75,1.17,,,
October,1.74,1.37,1.22,5.77,0.94,0.94,3.20,3.36,1.62,,,
November,1.44,0.95,1.67,1.80,1.39,1.87,3.53,1.61,0.68,,,
December,2.09,2.64,1.19,0.87,1.66,0.80,2.10,3.07,1.36,,,
Total,21.82,17.76,16.58,30.17,18.60,18.03,22.44,22.30,19.50,,,
Calc annual,21.82,17.76,16.58,30.17,18.60,18.03,22.44,22.30,19.50,0.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
