NORTHALLERTON - THE LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE369936,Long,-1.4339963,Lat,54.336631,Elevation,133,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,0.91,0.91,1.12,,1.75,2.3,1.47,0.7,2.02,1.56,1.85,2.25,0.55,2.74,1.83,0.95,0.14,1.28,0.88,2.98,1.4,2.13,3.19,1.88,0.77,0.98,,,1.13,1.67,2.37,3.96,0.85,1.68,0.54,2.62,2.55,1.46,0.9,2.53,1.82,,,,,
February,,,,,1.29,1.7,2.05,,1.29,1.8,1.56,2.02,2.44,1.03,1.57,1.29,1.87,1.85,0.75,2.62,1.86,3.31,0.57,2.36,3.19,1.26,0.5,0.78,1.53,0.61,,,1.43,2.18,2.54,0.97,0.53,1.15,1.33,1.3,4.49,1.89,0.99,1.16,1.75,,,,,
March,,,,,1.34,1.21,2.1,,1.22,2.12,1.46,0.98,2.62,2.69,0.47,0.3,2.78,2.51,0.69,0.85,1.43,1.84,2.08,1.88,2.41,1.85,1.84,1.8,2.51,2.56,,,1.17,0.55,1.06,2.29,2.5,2.38,2.2,1.03,0.83,1.87,0.66,2.5,1.27,,,,,
April,,,,,2.56,1.34,0.5,,1.91,1.48,0.49,1.95,2.93,1.26,0.97,0.99,2.78,3.58,1.42,2.37,1.75,0.67,4.41,1.51,1.62,1.72,1.85,1.01,1.62,1.81,,,1.23,0.51,1.31,1.77,0.59,1.93,2.74,3.15,1.21,2,1.58,1.11,1.16,,,,,
May,,,,,1.81,2.65,3.3,,0.92,3.52,0.84,1.62,2.11,2.29,1.98,1.24,0.93,1.93,3.27,1.74,1.4,0.74,1.43,1.27,0.41,2.4,3.34,1.62,0.59,1.55,,,2.86,1.67,1.9,0.52,0.45,1.24,1.44,3.88,1.42,1.09,2.23,3.99,4.9,,,,,
June,,,,,1.44,,1.2,,0.37,1.4,2.69,4.34,4.77,0.98,0.78,2.63,2.15,1.59,4.06,2.77,2.48,1.94,4.16,3.01,1.44,2.41,0.82,0.26,1.71,0.39,,,3.33,2.72,3.43,1.8,4.23,2.74,2.08,1.47,4.21,1.46,1.83,1.79,0.81,,,,,
July,,,,,1.54,2,2.92,,1.03,0.5,0.68,4.72,4.4,2.44,1.6,4.21,2.89,2.9,1.31,3.78,6.52,5.19,4.02,4.12,6.06,0.79,4.49,0.89,3.76,2.29,,,1.47,2.54,1.88,5.42,2.49,1.04,1.21,1.98,1.47,3.15,2.16,2.96,1.18,,,,,
August,,,,,0.18,2.6,8.6,,3.64,1.31,2.55,0.76,3.62,1.73,2.36,1.75,2.09,4.59,3.89,3.47,1.03,3.37,3.17,1.23,1.01,1.7,2.57,1.37,2.06,4.1,,,3.8,2.06,2.51,2.54,1.93,5.02,2.59,1.65,5.65,1.62,2.73,2.33,3.11,,,,,
September,,,,,1.85,1,3.78,,3.56,3.02,0.78,5.08,3.75,1.35,2.7,2.07,4.67,2.45,0.95,1.15,4.32,3.08,1.99,3.36,0.85,3.27,1.23,3.11,1.43,0.89,,,1.13,1.42,0.97,1.25,2.65,1.96,0.38,3.15,0.51,1.13,0.89,2.99,,,,,,
October,,,,,3.9,5.5,2.34,,2.24,2.78,4.79,2.19,4.1,1.98,2.67,2.46,1.51,2.23,2.35,0.94,3.57,2.2,3.14,2.99,1.63,3.02,3.59,2.23,0.28,4.01,,,4.94,1.52,4.72,3.56,4.67,1.86,2.2,1.18,4.51,1.46,2.56,6.8,,,,,,
November,,,,,1.51,,1.78,,1.41,1.62,2.65,0.94,4.42,2.28,0.96,4,2.25,1.81,3.75,1.34,1.63,2.61,2.57,1.86,1.41,1.42,2.97,2.24,2.88,0.92,,,1.08,3,1.19,2.6,1.79,2.28,2.44,1.53,2.6,4.02,1.29,1.48,,,,,,
December,,,,,2.34,1,1.81,,6.11,3.38,3.45,2.04,3.35,0.33,4.01,1.07,4.25,1.85,1.93,1.05,4.46,3.9,2.84,1.27,2.6,0.74,3.42,1.91,1.29,1.65,,,0.56,2.26,1.34,1.7,3.18,2.27,1.53,2.63,1.78,3.79,1.48,0.95,,,,,,
Total,,,,,20.67,,31.5,,25.45,25.23,23.41,27.34,40.53,19.92,21.92,24.26,28.72,30.03,26.2,23.03,30.59,30.13,31.26,27.84,24.03,22.71,29.81,19.1,20.43,21.76,,25.5,24.13,22.1,25.22,28.38,25.86,25.55,20.68,25.57,31.23,24.94,19.3,30.59,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR on Town Street near junction with south Parade, right elevation. The Lodge (occupied by observer Dr Hodgson), somewhere in this vicinity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
