"TAMWORTH BONEHILL HOUSE",,,,,,,,,,,,
Grid ref,SK194025,Long,-1.714876,Lat,52.619924,,,,,,,
Station no,RR4237,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.17,1.07,0.83,2.22,2.42,0.89,3.01,1.08,,,,
February,4.27,1.85,1.18,0.97,3.74,0.71,2.12,1.01,,,,
March,0.63,1.53,1.59,4.07,1.39,2.46,1.41,1.04,,,,
April,0.92,1.96,2.64,1.71,1.14,1.71,0.56,2.06,,,,
May,1.24,0.88,2.37,2.06,1.65,0.34,2.40,3.75,,,,
June,4.27,2.25,2.40,1.00,0.49,2.50,1.83,2.34,,,,
July,3.09,3.48,1.28,2.32,2.52,1.73,1.63,2.57,,,,
August,2.88,1.23,3.84,3.89,2.58,4.42,0.98,2.00,,,,
September,0.63,0.70,1.36,3.44,1.69,0.84,1.27,0.69,,,,
October,2.87,1.54,1.95,4.96,0.67,1.08,4.32,4.49,,,,
November,2.10,1.13,1.67,1.88,1.57,2.20,2.43,1.72,,,,
December,3.36,4.48,1.56,1.85,1.64,0.76,2.66,0.43,,,,
Total,29.43,22.10,22.67,30.37,21.50,19.64,24.62,23.18,,,,
Calc annual,29.43,22.10,22.67,30.37,21.50,19.64,24.62,23.18,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,NaN,NaN,,
