"LISBURN ULSTER PROVINCIAL SCHOOL",,,,,,,,,,,,
Grid ref,IJ2667464970,Long,-6.044380,Lat,54.517416,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,5.84,3.68,2.94,4.67,1.95,,2.53,,
February,,,,3.60,5.38,2.92,2.72,1.87,,3.27,,
March,,,,5.87,2.42,4.57,2.67,4.72,,5.54,,
April,,,,2.05,2.87,3.02,2.72,3.49,,4.50,,
May,,,,3.46,2.86,1.83,5.57,4.66,,1.79,,
June,,,,1.84,2.04,4.59,1.64,5.50,,3.05,,
July,,,,5.25,4.99,2.08,3.75,3.04,,5.29,,
August,,,,6.63,7.63,7.68,4.51,4.62,,2.92,,
September,,,,4.32,3.74,3.19,1.33,1.48,,2.79,,
October,,,,7.94,1.30,1.82,5.38,5.53,,6.74,,
November,,,,3.04,3.17,3.65,3.20,4.14,,1.66,,
December,,,,3.55,3.52,2.29,5.64,4.16,,3.34,,
Total,,,,53.39,43.60,40.58,43.80,45.16,,43.42,,
Calc annual,0.00,0.00,0.00,53.39,43.60,40.58,43.80,45.16,0.00,43.42,,
Difference,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,NaN,0.00,,
