STAMFORD - BARN HILL HOUSE,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF027072,Long,-0.483,Lat,52.653,Elevation,116,ft,,,,,,,,,,,,,,,,
Station no,RR2466,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.94,2.85,1.80,,2.00,1.40,4.45,1.50,1.35,1.55,1.70,2.20,1.65,1.40,0.30,0.86,1.80,2.05,1.85,1.05,2.80,2.20,0.75,1.45
February,2.17,2.20,1.60,,1.35,1.90,1.70,1.40,2.15,1.50,2.12,2.00,1.43,1.20,1.76,2.47,1.50,3.10,0.70,2.20,0.25,0.85,1.60,1.50
March,1.56,2.20,1.59,,0.38,1.15,1.46,1.25,0.65,0.22,2.50,1.60,0.65,1.15,1.12,1.50,1.00,0.95,0.80,1.05,2.05,1.70,2.35,2.00
April,1.66,2.30,1.40,,0.53,2.47,3.00,1.25,1.23,1.12,2.50,3.45,1.50,2.40,2.21,0.80,1.37,2.43,1.32,1.85,1.42,1.05,2.64,2.65
May,1.54,2.35,0.50,,0.36,0.85,1.90,2.20,1.17,1.10,0.70,2.00,3.50,3.45,1.80,0.95,2.30,2.30,1.25,2.00,4.25,1.85,1.40,4.60
June,2.37,1.60,0.50,,1.34,3.65,3.20,2.50,0.55,3.50,1.30,0.85,1.54,3.38,2.80,2.10,2.80,3.85,0.68,2.45,0.46,1.00,1.65,0.40
July,3.57,1.86,1.20,,1.20,3.40,4.60,2.28,0.68,6.05,0.80,-999.00,0.85,2.85,5.90,3.00,3.10,2.90,3.40,0.17,3.70,0.45,4.10,1.65
August,3.49,3.10,2.15,,1.80,1.50,2.38,3.05,1.35,2.55,1.66,-999.00,4.20,3.40,2.10,4.10,2.00,1.00,1.40,2.56,1.75,0.65,1.85,2.80
September,4.48,1.23,3.15,,0.74,5.80,1.75,1.75,2.52,2.45,4.25,1.80,1.90,2.75,5.10,2.10,2.30,4.55,1.36,1.70,1.15,1.30,1.35,2.15
October,2.12,1.90,1.94,,2.90,1.20,3.75,2.00,1.95,4.20,1.65,1.15,1.90,0.35,6.30,3.30,5.10,1.72,0.82,5.20,4.10,2.20,0.50,3.10
November,1.80,1.40,3.00,,1.40,1.26,3.40,1.25,0.70,4.00,4.15,2.10,3.00,1.38,2.45,2.26,3.18,3.70,1.55,3.35,2.50,2.00,3.00,1.64
December,1.67,2.40,4.00,,2.55,1.25,3.00,0.50,2.07,1.40,4.40,1.60,2.10,0.55,1.90,2.60,4.10,1.00,1.85,0.75,3.28,0.95,1.50,1.55
Total,28.37,25.39,22.83,,16.55,25.83,34.59,20.93,16.37,29.64,27.73,23.85,24.22,24.26,33.74,26.04,30.55,29.55,16.98,24.33,27.71,16.20,22.69,25.49
,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1860-1869_04_pt1/030,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/014,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/003,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
# July-August 1877 are grouped into a single aggregate reading of 5.10 on the sheet.,,,,,,,,,,,,,,,,,,,,,,,,
