RUTHIN-BRYNHYFRYD-SCHOOL,,,,,,,,,,
Grid ref,SJ130583,Long,-3.3012672,Lat,53.114759,Elevation,248,ft.,,
Station no,4309/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,6.34
February,,,,,,,,,,2.67
March,,,,,,,,,0.97,1.59
April,,,,,,,,,4.91,1.67
May,,,,,,,,,1.65,1.9
June,,,,,,,,,2.87,1.21
July,,,,,,,,,2.53,2.33
August,,,,,,,,,1.25,3.04
September,,,,,,,,,0.21,5.72
October,,,,,,,,,3.25,3.97
November,,,,,,,,,4.35,6.12
December,,,,,,,,,6.16,3.15
Total,,,,,,,,,,39.71
,,,,,,,,,,
MIDAS src_id 1153 RUTHIN Start 1959 and still current,,,,,,,,,,
"NGR is Brynhyfryd School. Altitudes match. 1950s record has an NGR of SJ133584, which is 300m ENE  and not near the school but altitudes match, The Grammar School is 200m NNE but unlikely to tbe the location",,,,,,,,,,
