"LYDD (DENGE PUMPING STATION)",,,,,,,,,,,,
Grid ref,TR068201,Long,0.942362,Lat,50.943239,,,,,,,
Station no,247/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,3.39,5.27,1.53,2.37,3.16,4.29,,
February,,,,,1.62,0.55,4.11,2.05,0.02,2.06,,
March,,,,2.98,1.09,0.26,0.95,0.83,1.86,2.05,,
April,,,,0.24,0.28,0.87,0.32,1.32,1.65,0.75,,
May,,,,1.90,4.40,0.48,1.30,1.82,0.85,1.84,,
June,,,,2.01,1.88,1.92,0.36,3.84,0.97,1.20,,
July,,,,3.19,0.58,2.68,4.06,2.42,1.35,2.79,,
August,,,,3.16,2.25,3.58,1.98,3.52,0.61,5.60,,
September,,,,2.16,1.18,2.29,3.13,2.58,0.10,2.50,,
October,,,,1.46,3.34,1.15,1.11,3.86,2.92,6.25,,
November,,,,4.72,0.98,0.47,3.65,2.13,4.59,6.49,,
December,,,,1.45,2.74,2.88,1.49,3.44,6.44,4.93,,
Total,,,,,23.73,22.40,23.99,30.18,24.52,40.75,,
Calc annual,0.00,0.00,0.00,23.27,23.73,22.40,23.99,30.18,24.52,40.75,,
Difference,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,,
