PEEBLES,,,,,,,,,,,,,,,,,,,,
Grid ref,NT252397,Long,-3.189247,Lat,55.645515,Elevation,590,ft,,,,,,,,,,,,
Station no,RR363,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779
January,,,,,,,0.32,2.76,2.72,2.07,1.77,1.27,1.1,3.82,2.68,5.09,1.65,2.33,2,0.85
February,,,,,,,0.53,2.32,4.6,1.05,1.4,0.9,0.55,0.32,2.65,5.46,2.72,2,1.94,1.2
March,,,,,,,1.95,2.02,0.63,1.45,1.48,0.61,1.58,0.58,0.44,2.27,1.29,1.53,2.83,0.15
April,,,,,,,1.52,0.57,1.09,2.14,1.46,0.58,0.82,2.43,2.54,0.56,0.88,2.85,1.71,2.97
May,,,,,,,3.76,1.84,0.84,2.18,2.5,2.19,0.78,1.31,1.67,1.26,1.12,2.31,2.69,3.51
June,,,,,,,3.25,0.35,3,2.27,3.55,0.7,1.92,0.91,3.34,1.61,1.87,2.1,2.38,2.35
July,,,,,,,1.24,4.89,5.1,1.36,1.47,1.35,3.2,0.76,2.22,5.11,3.35,2.73,3.01,6.05
August,,,,,,,1.52,1.71,1.65,4.05,1.33,2.65,3.1,0.99,3.65,3.1,3.66,2.37,2.19,0.9
September,,,,,,,2.54,1.2,3.52,2.91,3.05,2.26,3.17,3.83,3.1,4.65,2.4,1.63,2.21,5.43
October,,,,,,,3.01,2.3,3.71,1.31,1.81,4.18,4.22,2.83,1.76,4.03,1.1,6.53,5.54,3.28
November,,,,,,,2.51,3.59,3.66,3.51,5.23,3.58,6.52,3.42,1.85,2.1,3.33,3.25,5.66,2.85
December,,,,,,,1.9,0.85,2.51,3.25,4.3,1.7,1.19,2.41,3.64,0.9,1.57,1.7,4.17,4
Total,,,,,,,24.05,24.4,33.03,27.55,29.35,21.97,28.15,23.61,29.54,36.14,24.94,31.33,36.33,33.54
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
