COMPTON-CROSS-ASH-(KENNINGTON),,,,,,,,,,,,,,,,,,,,,
Grid ref,SU467252,Long,-1.33551,Lat,51.0243,Elevation,250,ft,,,,,,,,,,,,,
Station no,714,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,3.64,3.74,5.54,2.37,5.74,1.48,4.8,2.3,2.74,2.33,2.7,0.74,5.78,,,,
February,,,,,0.49,4.09,2.04,4.25,2.45,1.1,1.16,2.18,0.07,4.53,0.1,4,3.27,,,,
March,,,,,1.4,0.48,0.71,3.36,3.11,0.05,1.45,0.53,2,4.03,3.24,0.94,2.41,,,,
April,,,,,3.17,3.08,3,2.13,1.7,0.78,2.58,3.35,3.59,1.36,2.41,4.16,2.25,,,,
May,,,,,3.58,3.28,1.2,0.73,1.29,2.04,2,3.08,4.9,2.16,1.14,1.11,0.31,,,,
June,,,,,2.67,0.08,2.62,2.92,2.96,2.13,0.43,2.3,2.07,2.4,1.58,4.75,3.57,,,,
July,,,,,4.21,3.07,1.67,2.48,1.47,1.7,1.95,3.43,3.29,2.45,1.07,1.67,3.66,,,,
August,,,,,3.86,3.4,1.05,3.69,2.26,1.76,3.5,5.62,1.83,1.14,3.37,2.77,0.31,,,,
September,,,,,5.02,3.5,0.86,6.09,1.26,0.3,3.14,2.27,3.5,3.55,2.21,4.19,,,,,
October,,,,,4.22,3.33,2.03,2.1,7.4,4.19,2.18,0.63,5.58,1.91,1.83,4.93,,,,,
November,,,,,2.73,2.6,6.52,3.85,2.62,9.05,4.88,3.63,1.88,0.72,2.41,6.73,,,,,
December,,,,,5.2,3.16,0.35,4.09,3.08,6.77,3.6,0.61,1.35,0.82,10.43,4.24,,,,,
Total,,,,,40.19,33.81,27.59,38.06,35.34,31.35,31.67,29.93,32.8,27.4,32.49,40.23,,,,,
,,,,,,,,,,,,,,,,,,,,,
Gauge from Watford,,,,,,,,,,,,,,,,,,,,,
Kennington exact location unknown but this matches distance of move to Cross Ash and chuch,,,,,,,,,,,,,,,,,,,,,
NGR matches elevation and likely house name change when observer moved,,,,,,,,,,,,,,,,,,,,,
1936 Sept Observer moved to Cross Ash 0.5 miles NNW,,,,,,,,,,,,,,,,,,,,,
