COMPTON-CROSS-ASH,,,,,,,,,,,,,,,,,,,,
Grid ref,SU464258,Long,-1.33971,Lat,51.03002,Elevation,150,ft,,,,,,,,,,,,
Station no,714,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,7.26,3.6,5.81,2.94,3.11,3.67,5.89,2.73,1.68,2.66,2.78,6.28,1.01,
February,,,,,,,6.31,0.72,1.82,3.88,3.01,0.48,1.32,0.66,2.57,2.76,1.67,1.27,1.69,
March,,,,,,,4.04,0.31,1.21,3.01,3.79,2.84,0.57,0.31,0.74,1.1,6.89,1.16,1.7,
April,,,,,,,2.44,0.02,1.77,1.23,2.24,2.4,0.84,1.53,1.25,2.43,2.49,1.77,1.68,
May,,,,,,,3.08,1.83,1.12,0.55,1.89,3.43,3.71,0.46,2.58,3.6,1.25,3.2,3.17,
June,,,,,,,2.1,0.65,2.53,0.23,1.27,0.29,1.19,2.86,3.4,3.94,1.52,2.37,0.45,
July,,,,,,,1.09,2.67,4.63,3.22,2.38,1.79,2.21,2.66,1.68,1.14,1.32,1.5,0.68,
August,,,,,,,1.89,2.3,1.71,0.1,3.88,3.62,1.56,2.6,2.07,5.18,0.85,4.17,1.12,
September,,,,,,3.04,1.65,1.32,1.09,2.02,0.53,2.47,1.58,1.98,2.18,4.94,1.83,2.87,2.77,
October,,,,,,1.62,3.85,3.4,5.35,4.53,1.37,4.08,4.38,4.93,3.77,1.45,1.26,1.83,7.49,
November,,,,,,3.56,2.12,4.79,5.77,8.17,3.18,1.75,1.73,5.4,0.27,7.08,1.41,1.77,4.3,
December,,,,,,4.3,4.32,4.66,2.18,2.31,2.07,4.35,2.12,3.17,4.57,3.76,3,6.05,1.99,
Total,,,,,,,40.15,26.27,34.99,32.19,28.72,31.17,27.1,29.29,26.76,40.04,26.27,34.24,28.05,
,,,,,,,,,,,,,,,,,,,,
1936 Sept Observer moved from Kennington 0.5 miles SSE,,,,,,,,,,,,,,,,,,,,
Cross Ash marked on maps with elevation as given on sheets when initial move happened,,,,,,,,,,,,,,,,,,,,
Elevation change on sheet to 250ft noted as taken from map does not match,,,,,,,,,,,,,,,,,,,,
1943 June 5 Gauge moved 3ft SW,,,,,,,,,,,,,,,,,,,,
1950 Station terminated on death of observer,,,,,,,,,,,,,,,,,,,,
