WINDERMERE (ST RULE),,,,,,,,,,,,,,,,,,,,
Grid ref,SD413976,Long,-2.905039,Lat,54.370512,Elevation,350,ft,,,,,,,,,,,,
Station no,3694/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,6.25,9.44,2.6,7.13,7.11,,9.24,4.89,2,6.68,11.66,,,,,,,
February,,0.03,5.55,0.48,8.99,3.07,9.94,,7.67,3.48,8.36,2.38,4.19,,,,,,,
March,,4.2,4.54,4.92,2.01,4.51,2.46,,3.68,7.17,4.48,6.17,2.23,,,,,,,
April,,5.47,2.76,4.34,4.1,1.43,4.01,,2.74,2.55,2.07,3.44,4.16,,,,,,,
May,,5.6,3.34,5,,0.95,2.74,,1.17,1.23,4.4,4.9,5.75,,,,,,,
June,,3.21,3.85,3.68,5.93,5.22,3.3,,3.9,1.13,0.5,0.97,5.35,,,,,,,
July,,6.62,2.51,2.07,2.18,7.19,3.93,,8.49,8.01,2.43,4.35,5.54,,,,,,,
August,,2.17,3.24,4.85,3.94,4.1,3.08,4.18,3.14,1.87,7.06,5.37,9.34,,,,,,,
September,,6.65,1.47,8.29,11.91,7,4.65,3.3,2.51,4.95,2.1,10.66,6.96,,,,,,,
October,,10.14,5.03,9.94,10.2,5.8,3.59,15.2,2.95,7.03,7.91,7.12,8,,,,,,,
November,,5.01,2.54,1.4,6.46,6.92,2.39,12.02,11.29,7.62,4.5,1.57,4.52,,,,,,,
December,,8.82,1.81,10.1,4.34,8.48,6.28,6.66,3.84,6.24,3.97,9.44,3.24,,,,,,,
Total,,,42.89,64.51,,61.8,53.48,,60.62,56.17,49.78,63.05,70.94,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1932 Jan and total estimated,,,,,,,,,,,,,,,,,,,,
"1935 total on record is for incomplete year, the missing May value, therefore removed",,,,,,,,,,,,,,,,,,,,
