BROOKSBOROUGH COLEBROOKE PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH4093744642,Long,-7.3711449,Lat,54.348956,Elevation,279,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,,3.07,1.87,0.9,2.72,7.72,5.75,2.99,5.09,3.53,2.74,5.25,4.95,2.13,2.82,2.84,6,3.83,,,,
February,,,,,,,,,,2.5,3.29,4.85,2.74,5.22,3.37,4.39,2.78,2.26,1.54,3.1,1.15,0.41,2.72,5.3,5.05,0.76,,,,
March,,,,,,,,,,2.22,2.81,3.81,3.34,1.76,3.23,3.54,3.2,1.17,3.81,2.08,3.27,2.53,1.06,1.43,2.25,3.76,,,,
April,,,,,,,,,,1.69,4.49,2.08,2.96,1.66,1.58,2.75,2.33,1.81,2.33,2.93,1.17,2.94,0.88,0.97,3.69,2.16,,,,
May,,,,,,,,,,3.5,1.3,1.92,2.18,2.1,4.22,2.25,4.83,1.71,2.71,3.68,2.15,3.83,5.65,1.63,2.57,0.9,,,,
June,,,,,,,,,,5.79,3.76,4.81,4.31,2.49,0.99,0.79,2.63,0.43,5.66,0.53,3.8,1.83,2.57,2.83,2.36,1.3,,,,
July,,,,,,,,,,5.63,4.33,2.02,6.8,4.31,4.36,3.75,3.4,3.41,5.77,2.68,2.52,2.26,2.81,4.68,3.24,4.22,,,,
August,,,,,,,,,,5.29,2.01,3.12,3.77,3.47,2.73,2.03,2.88,3.6,3.6,5.67,3.1,7.5,5.9,5.1,3.48,6.61,,,,
September,,,,,,,,,,6.49,3.36,2.15,3.32,5.13,3.1,6.1,3.89,4.05,1.35,3.11,4.29,3.65,5.18,2.74,0.15,0.83,,,,
October,,,,,,,,,,2.4,0.87,4.17,3.17,4.32,5.21,5.43,4.98,2.55,1.61,4.81,2.54,4.75,2.79,3.7,4.67,3.6,,,,
November,,,,,,,,,,1.23,6.23,5.16,7.17,5.17,3.61,2.42,3.46,3.04,5.02,2.3,8.11,3.19,5.26,2.98,3.39,4.86,,,,
December,,,,,,,,,,2.82,3.8,4.91,3.86,3.3,4.96,1.96,5.61,3.9,4.55,4.34,2.53,5.51,3.09,4.4,4.58,5.02,,,,
Total,,,,,,,,,,42.63,38.12,39.9,46.34,46.65,43.11,38.4,45.08,31.46,40.69,40.48,39.58,40.53,40.73,38.6,41.43,37.85,,,,
