NOTTINGHAM-SNEINTON-PUMPING-STATION (TRENT LANE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK589390,Long,-1.124915,Lat,52.945164,Elevation,85,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,
January,,,,,2.39,0.69,2.63,1.03,1.08,0.93,1.9,0.92,3.59,2.89,1.28,2.35,1.12,2,1.98,3.28,2.61,1.87,3.28,0.91,1.94,1.96,2.11,1.43,3.98,1.08,3.09,1.49,1.06,1.65,1.94,0.96,3.18,3.06,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,2.54,0.69,2.02,1.22,1.47,0.64,1.49,1.48,1.39,0.79,1.02,2.72,4.07,0.81,2.04,2.37,1.97,0.36,2.06,3.28,0.77,2.24,1.89,1.67,1.83,0.6,0.49,2.52,0.33,2.55,0.48,2.18,1.8,3.9,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,1.49,2.27,1.4,1.22,2.61,2.78,0.6,1.38,2.28,3.32,2.09,0.95,3.27,1.26,0.68,4.12,1.68,0.98,1.5,0.98,1.04,0.77,0.6,2.33,1.57,0.09,2.29,0.25,1.26,2.77,2.12,0.67,1.27,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,1.3,1.49,0.43,1.9,1.48,1.33,1.51,0.89,0.29,2.27,0.71,0.73,1.3,1.28,1.6,1.67,3.99,0.8,2.83,2.4,1.45,1.75,1.67,1.9,0.69,1.29,3.24,3.01,2.29,1.22,2.01,2.82,1.69,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,1.65,0.5,1.76,2.86,1.92,1.1,2.22,1.37,2.45,2.06,1.86,1.69,2.75,2.07,1.9,1.23,2.04,1.7,1.12,2.16,3.59,3.08,2.49,0.89,1.35,1.32,2.13,3.11,5.99,1.44,0.97,0.36,0.77,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,0.35,2.68,1.9,2.12,1.43,2.32,1.6,2.38,3.3,0.84,2.01,0.92,1.45,1.81,0.29,0.82,2.37,0.65,0.71,0.45,1.56,0.04,2.06,4.21,2.36,1.4,1.77,2.85,0.55,1.7,0.55,2.78,2.65,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,2.65,1.14,0.46,2.49,3.06,3.71,2.37,0.1,3.14,0.8,2.7,6.05,2.13,1.2,1.9,3,4.5,0.84,4.07,4.04,2.06,1.33,1.37,2.48,1.3,1.4,5.11,3.96,4.67,2.58,1.62,0.32,5.45,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,2.79,3.22,0.88,2.35,2.97,2.82,3.36,1.89,5.26,1.6,2.2,2.26,2.49,4.31,1.25,2.58,0.87,4.72,5.09,2.18,2.43,1.46,1.68,3.38,2.46,2.05,2.94,3.59,2.19,0.81,1.8,2.94,0.79,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,1.88,1.46,0.97,0.62,1.06,2.53,0.75,1.32,0.83,1.78,0.65,0.71,1.07,1.38,4.38,1.34,1.46,1.14,1.7,2.33,2.53,3.38,1.1,4.17,0.41,0.64,3.17,2.23,1.62,1.27,1.83,5.25,2.33,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,0.37,1.38,4.26,3.36,0.99,2.55,1.57,2.02,2.43,3.62,1.7,1.27,2.16,3.27,1.36,2.39,1.11,2.09,0.57,1.29,3.76,3.25,2.03,2.01,3.73,2.65,2.13,0.56,2.69,3.22,1.06,2.81,1.17,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,0.88,2.46,2.65,1.57,1.29,0.53,3.07,2.37,1.76,1.59,2.92,2.44,2.5,0.93,1.61,1.72,0.94,1.34,0.9,1.9,1.54,1.74,3.2,2.4,2.61,4.78,2.82,2.09,1.61,1.12,2.05,4.05,2,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,1.67,0.51,2.41,2.55,1.14,3.86,4.14,3.31,3.38,0.75,4.49,4.69,2.24,0.72,2.61,3.62,2.38,1.68,3.03,2.48,2.49,2.11,0.76,2.7,2.18,3.71,1.69,0.92,0.57,0.19,3.99,2.8,1.32,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,19.96,18.49,21.77,23.29,20.5,25.1,24.58,19.43,30.1,22.31,23.63,26.78,26.55,21.04,21.6,28.14,25.92,18.17,26.86,24.4,25.16,23.11,20.96,29.57,24.47,21.01,30.87,26.58,24.83,20.52,20.42,27.94,24.42,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
