"NOTTINGHAM TRENT LANE SEWAGE PUMPING STATION",,,,,,,,,,,,
Grid ref,SK589390,Long,-1.124915,Lat,52.945164,,,,,,,
Station no,2603,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,2.39,0.69,2.63,1.03,1.08,0.93,,
February,,,,,2.54,0.69,2.02,1.22,1.47,0.64,,
March,,,,,1.49,2.27,1.40,1.22,2.61,2.78,,
April,,,,,1.30,1.49,0.43,1.90,1.48,1.33,,
May,,,,,1.65,0.50,1.76,2.86,1.92,1.10,,
June,,,,,0.35,2.68,1.90,2.12,1.43,2.32,,
July,,,,,2.65,1.14,0.46,2.49,3.06,3.71,,
August,,,,,2.79,3.22,0.88,2.35,2.97,2.82,,
September,,,,,1.88,1.46,0.97,0.62,1.06,2.53,,
October,,,,,0.37,1.38,4.26,3.36,0.99,2.55,,
November,,,,,0.88,2.46,2.65,1.57,1.29,0.53,,
December,,,,,1.67,0.51,2.41,2.55,1.14,3.86,,
Total,,,,,19.96,18.49,21.77,23.29,20.50,25.10,,
Calc annual,0.00,0.00,0.00,0.00,19.96,18.49,21.77,23.29,20.50,25.10,,
Difference,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,,
