NOTTINGHAM-SNEINTON-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK592393,Long,-1.120396,Lat,52.947827,Elevation,83,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,2.15,3.95,2.1,2.82,2.25,3.77,2.31,1.34,1.64,1.4,4.25,0.81,0.96,2.2,1.85,0.84,1.39,2.18,3.24,1.28,2.64,2.9,4.56
February,,,,,,,,0.65,0.86,2.17,1.64,0.8,0.4,2.18,1.89,2.61,1.74,1.51,0.59,4.19,2.87,0.48,1.5,1.92,1.59,0.67,2,3.31,0.14,1.93
March,,,,,,,,0.16,1.56,1.75,2.7,1.46,0.52,0.33,0.6,0.7,4.47,0.52,1.29,0.89,2.91,2.4,1.11,1.81,2.29,0.7,2.1,1.34,1.34,1.49
April,,,,,,,2.45,0.08,1.98,2.31,1.23,1.03,0.71,2.31,1.47,1.34,1.94,1.18,1.85,2.33,1.56,1.9,1.81,0.29,1.07,1.62,0.19,0.72,2.4,0.9
May,,,,,,,2.47,1.91,0.97,1.45,2.11,3.23,2.68,1.24,1.78,1.15,1.39,2.05,2.51,1.77,2.71,3.12,1.98,2.8,3.75,0.56,1.24,1.82,0.51,1
June,,,,,,,0.47,1.12,1.72,1.06,0.55,0.51,1.19,1.65,2.03,3.39,1.5,1.99,0.54,1.31,1.28,2.47,3.6,3.22,3.48,3.11,1.61,4.33,1.38,1.75
July,,,,,,,2.83,2.68,3.64,3.78,3.08,2.54,0.52,2.2,2.36,2.01,1.7,1.02,3.7,1.84,0.8,0.35,1.95,1.66,1.35,2.76,2.6,3.92,1.44,3.32
August,,,,,,,0.22,2.23,2.24,0.33,4.39,1.59,1.34,3.11,1.91,4.99,0.16,3.32,2.01,3.34,5.62,1.91,1.82,4.34,0.35,5.46,3.12,1.79,0.57,3.93
September,,,,,,,0.91,2.74,0.54,0.56,0.37,0.81,1.93,3.29,1.71,3.21,1.12,2.73,1.41,2.42,1.06,1.37,1.37,2.01,0.6,1.82,5.48,2.14,0.33,3.89
October,,,,,,,3.66,2.38,2.53,3.84,2.3,1.82,1.67,2.02,3,1.21,0.28,1.93,4.6,0.66,0.85,2.59,2.33,2.74,1.38,1.23,1.19,2.11,1.9,4.54
November,,,,,,,1.15,2.03,3.64,5.64,2.96,1.4,1.57,3.84,0.19,4.25,1.59,1.17,2.27,3.8,4.79,1.64,1.38,4.06,1.29,0.53,1.89,1.24,1.92,2.68
December,,,,,,,2.48,3.27,1.45,1.23,0.58,1.86,0.62,0.96,1.63,2.04,1.79,2.95,1.85,1.48,1.58,2.34,0.76,1.97,1.67,2.03,1.63,3.01,2.73,3.24
Total,,,,,,,,21.4,25.08,26.22,24.73,19.3,16.92,25.44,19.91,28.54,19.08,24.62,23.43,24.99,28.23,22.42,20.45,28.21,21,23.73,24.33,28.37,17.56,33.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge moved 1937 Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Jan IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
