SOUTH RONALDSHAY ROEBERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ND428930,Long,-2.992183,Lat,58.820677,Elevation,101,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,3.66,3.24,2.63,2.17,1.89,3.42,2.23,4.34,3.63,2.35,3.5,3.6,1.28,1.88,1.12,3.65,3.99,4.84,1.87,4.37,3.08,2.33,2.37,3.24,2.05,4.85,2.41,3.33,3.04,2.91,1.43,4.03,5.46,3.24,3.51,2.93,,,,,,,
February,,,,,,,,2.41,3.02,3.29,1.32,2.91,2.82,0.97,1.26,1.53,2.63,3.37,1.7,1.4,3.56,3.8,2.85,3.47,1.19,2.56,1.48,1.91,1.6,3.95,1.37,2.09,3.27,3.23,3.25,0.97,1.86,1.5,5.2,1.51,2.47,2.34,1.16,,,,,,,
March,,,,,,,2.39,1.23,2.72,1.47,0.6,1.46,1.64,2.26,2.91,0.94,4.53,2.56,2.54,2.12,1.92,3.02,4.93,2.32,3.51,2.5,1.1,0.83,2.83,2.41,3.78,2.61,1.37,1.8,1.39,1.85,3.09,4.01,4.56,2.54,1.94,1.98,2.59,,,,,,,
April,,,,,,,1.08,3.74,2.22,2,2.43,1.76,1.98,1.79,1.56,2.47,2.84,1.66,0.2,1.81,1.55,1.39,2.04,1.74,0.92,1.07,1.57,1.53,1.94,2.38,1.15,0.72,2.63,0.66,0.49,2.8,1.68,1.42,4.33,2.45,2.2,2.51,1.61,,,,,,,
May,,,,,,,1.54,1.27,1.45,1.17,1.37,0.95,1.88,1.24,1.1,1.47,0.9,2.61,1.61,1.85,1.27,2.13,1.39,2.61,1.75,1.5,2.4,0.98,2.5,0.66,2.09,2.72,3.68,1.47,2.22,0.7,1.73,1.57,5.27,3.09,1.7,1.66,1.88,,,,,,,
June,,,,,,,2.4,1.66,1.87,1.15,1.18,0.54,3.64,1.82,1.3,1.65,2.01,3.03,1.16,1.4,2.03,2.39,4.28,1.08,0.77,1.79,2.05,1.11,1.42,0.66,2.73,1.74,2.73,0.55,1.84,2.02,2.89,0.56,2.2,1.57,1.59,3.25,1.57,,,,,,,
July,,,,,,,1.06,2.11,1.47,1.99,0.59,4.02,2.18,2.67,3.06,2.36,2.7,3.13,1.92,3.45,2.95,3.72,2.74,1.81,1.68,1.41,2.71,3.1,2.39,1.05,3.24,3.81,2.75,2.89,4.75,2.41,3.11,1.58,2.83,2.59,3.2,1.5,2.32,,,,,,,
August,,,,,,,2.59,2.11,5.11,1.52,0.73,3.43,2.8,3.74,3.66,2.48,2.27,2.55,1.3,4.02,0.47,2.37,2.84,3.05,2.79,1.31,1.97,2.11,2.73,5.99,2.58,4.51,3.68,1.88,3.22,2.17,2.82,2.32,5.17,2.09,2.96,3.71,2.43,,,,,,,
September,,,,,,,3.26,4.57,1.59,5.79,2.66,2.77,3.1,4.2,4.51,3.2,3.25,0.92,5.11,2.55,4.24,0.96,3.71,3.26,0.86,4.14,1.7,4.01,1.7,2.07,2.92,2.77,2.69,4.88,0.42,2.23,4.73,5.99,4.74,5.14,3.32,1.58,2.13,,,,,,,
October,,,,,,,2.59,4.54,4.67,1.82,2.47,2.37,4.99,5.93,3.07,3.16,4.46,3.38,3.74,3.21,3.69,3.4,2.67,3.6,6.34,4.15,2.78,2.99,4.27,3.38,4.74,2.04,4.59,6.75,3.31,3.87,5.25,3.03,3.86,3.58,4.4,3.03,2.33,,,,,,,
November,,,,,,,6.31,2.04,1.54,4.74,2.31,3.69,4.94,4.51,3.8,3.63,4.83,6.47,4.14,2.46,5.12,2.59,5.18,3.65,3.46,1.66,2.45,3.97,4.21,1.92,5.29,2.87,3.29,5.97,1.5,2.18,2.35,4.35,6.15,3.36,3.66,2.45,1.65,,,,,,,
December,,,,,,,3.95,3.33,3.19,3.25,4.27,1.85,5.17,3.41,2.92,2.12,4.64,3.88,3.19,2.15,4.07,3.69,4.73,4.41,3.89,2.79,4.65,2.98,2.39,3.05,1.47,3.54,2.66,3.31,2.68,5.91,5.28,4.4,5.92,4.83,4.2,4.48,2.83,,,,,,,
Total,,,,,,,,32.67,32.09,30.82,22.1,27.64,38.56,34.77,33.49,28.64,37.41,37.06,30.21,27.7,32.75,30.58,41.01,34.99,32,26.75,29.23,28.6,30.31,29.89,34.6,31.47,38.19,35.8,28.4,30.15,37.7,32.16,54.26,38.21,34.88,32,25.43,,,,,,,
