"SOUTH RONALDSHAY ROEBERRY",,,,,,,,,,,,
Grid ref,ND428930,Long,-2.992183,Lat,58.820677,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.24,3.51,2.93,,,,,,,,,
February,2.47,2.34,1.16,,,,,,,,,
March,1.94,1.98,2.59,,,,,,,,,
April,2.20,2.51,1.61,,,,,,,,,
May,1.70,1.66,1.88,,,,,,,,,
June,1.59,3.25,1.57,,,,,,,,,
July,3.20,1.50,2.32,,,,,,,,,
August,2.96,3.71,2.43,,,,,,,,,
September,3.32,1.58,2.13,,,,,,,,,
October,4.40,3.03,2.33,,,,,,,,,
November,3.66,2.45,1.65,,,,,,,,,
December,4.20,4.48,2.83,,,,,,,,,
Total,34.88,32.00,25.43,,,,,,,,,
Calc annual,34.88,32.00,25.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
