CHARLTON-ON-OTMOOR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP564160,Long,-1.1827895,Lat,51.839766,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.93,1.24,1.25,4.67,3.22,0.97,3.04,1.3,1.44,2.53,3.63,2.25,2.1,,,,,,,,,
February,,,,,,,,,,0.54,3,1.32,2.51,1.35,2.52,3.6,3.36,1.18,1.18,2.46,0.8,1.22,,,,,,,,,
March,,,,,,,,,,2.25,0.85,1.94,3.69,2.83,3.95,1.38,5.03,1.74,0.88,3.96,1.98,1.18,,,,,,,,,
April,,,,,,,,,,2.22,2.29,1.3,0.02,4.16,1.04,1.08,1.22,1.72,3.24,2.52,4,1.7,,,,,,,,,
May,,,,,,,,,,1.95,1.94,2.26,2.77,2.45,1.62,3.18,1.93,2.28,2.36,0.48,1.95,1.25,,,,,,,,,
June,,,,,,,,,,5.39,3.57,1.5,2.68,0.42,2.56,1.06,1.92,2.32,0.24,0.46,3.18,0.2,,,,,,,,,
July,,,,,,,,,,3.2,2.15,0.39,2.9,0.98,2.74,4.9,2.44,3.65,4.12,2.17,5.2,0.4,,,,,,,,,
August,,,,,,,,,,4.11,2.4,1.1,5.59,0.82,1.92,1.85,4.33,4.12,1.3,2.88,1.28,1.45,,,,,,,,,
September,,,,,,,,,,3.12,0.28,1.74,0.29,2.53,1.36,2.43,1.1,1.78,5.8,1.98,2.8,1.72,,,,,,,,,
October,,,,,,,,,,3.72,4.19,2.82,3.1,4.76,3.1,2.38,3.63,4.27,4.58,1.86,3.7,1.88,,,,,,,,,
November,,,,,,,,,,0.95,3.4,2.11,1.83,2.99,2.8,2.5,1.61,0.82,2.18,1.3,1.55,1.28,,,,,,,,,
December,,,,,,,,,,2.65,5.49,5.33,3.39,1.2,5.48,4.97,2.98,1.08,2.82,4.82,3.65,1.85,,,,,,,,,
Total,,,,,,,,,,31.03,30.8,23.06,33.44,27.71,30.06,32.37,30.85,26.4,31.23,28.52,32.34,16.23,,,,,,,,,
