BENENDEN-SANATORIUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ834352,Long,0.6172932,Lat,51.086794,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,2.02,1.54,2.64,5.04,0.76,3.41,1.36,1.39,2.76,1.06,3.21,2.18,3.3,1.62,2.61,2.97,3.01,2.37,3.73,1.17,2.8,2.04,3.09,1.98,2.96,1.17,3.72,4.52,3.64,,,,2.14,4.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,3.84,1.31,2.54,1.2,4.53,1.97,5.27,0.81,1.46,0.76,0.53,0.81,2.67,4.26,0.94,3.96,2.76,3.02,1.37,0.93,2.04,2.85,0.47,1.65,0.1,3.79,1.42,3.81,0.56,1.05,,,0.71,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.39,2.29,4.31,2.73,5.92,0.41,3.4,1.77,0.55,3.59,1.59,1.57,2.49,2.26,1.95,1.34,0.36,4.02,1.7,0.12,1.74,0.52,1.52,1.98,2.97,0.41,0.76,4.34,0.53,1.64,2.76,2.3,2.62,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.09,1.94,0.09,2.91,1.22,0.55,1.33,1.67,1.14,3.61,2.73,1.6,3.59,2.28,3.15,2.23,3.94,1.62,2.45,0.93,1.62,3.42,2.71,1.26,2.2,3.76,1.71,2.39,1.05,2.5,,1.41,1.17,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.25,0.9,0.33,0.72,0.75,1.76,1.82,2.85,0.83,0.44,1.44,1.69,0.62,3.67,3.55,3.17,1.87,0.63,3.36,1.43,2.57,2.3,3.08,2.28,0.7,2.02,0.2,2.65,,1.58,1.1,1.97,2.84,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.34,2.07,4,0.23,1.4,1.29,2.76,2.41,0.34,0.5,1.5,0.02,1.4,0.64,3.2,0.16,2.72,3.83,2.83,1.22,1.2,1.41,0.46,1.74,1.19,2.09,2.98,2,0.81,1.44,0.6,1.41,0.35,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.37,0.6,0.88,2.01,2.22,1.43,1.23,3.49,3.42,1.4,3.63,0.37,2.88,0.78,2.67,3.73,1.95,4.34,1.1,1.45,3.66,1.89,3.04,1.83,1.74,0.52,4.22,1.02,,1.99,2.33,3.66,2.32,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.69,0.89,7.05,0.71,0.8,0.95,2.61,6.21,1.3,3.83,1.66,1.29,2.49,2.2,2.25,1.95,2.26,4.14,1.81,2.08,3.36,4.26,0.57,0.96,1.9,2.79,1.02,1.38,,1.65,0.04,4.55,1.92,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.39,1.37,4.19,1.72,1.12,1.15,1.23,1.16,6.32,1.07,3.14,0.44,3.79,2.26,2.25,2.63,0.71,3.91,0.51,0.91,3.85,2.12,2.51,3.97,1.39,4.18,1.04,2.17,,1.02,,0.22,2.8,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,2.98,5.48,4.51,3.84,3.05,0.65,4.89,,2.69,0.71,1.16,0.83,1.49,6.51,4.99,4.39,3.09,2.31,6.47,3.34,2,0.58,5.9,1.67,2.28,3.96,1.14,2.81,,6.7,,1.45,4.06,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
