ROSS THE GRAIG BIRCHLEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO596235,Long,-2.588684,Lat,51.908561,Elevation,213,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,
January,,,,,,,,,,1.45,3.34,0.75,2.41,3.51,1.62,3.51,3.91,4.37,3.19,6.16,2.06,2.26,4.25,4,3.21,4.61,2.12,4.39,1.1,2.85,0.66,1.65,2.99,4.25,3.28,2.95,5.1,2.73,0.69,0.84,3.61,1.91,1.9,2.3,2.73,4.4,0.37,2.42,0.28,3.88,2.97,1.52,0.78,3.51,3.1,1.23,4.08,2.18,0.72,1.06,2.66,0.67,4.03,4.32,0.67,3.05,0.9,1.23,2.73,3.2,4.25,3.18,3.76,1.08,3.95,2.4,4.05,3.38,4.63,0.93,5.07,1.58,4.09,2.55,2.91,0.77,4.39,4.23,2.92,6.11,2.87,4.02,2.16,6.24,,,,,,,,,
February,,,,,,,,,,1.34,0.7,3.25,0.47,0.73,1.08,2.44,2.18,1.78,1.36,3.15,1.96,1.65,3.58,1.34,2.88,2.35,2.43,1.48,2.22,3.95,4.88,3.08,3.12,4.33,2.66,4.5,1.22,0.4,1.1,1.29,0.68,0.01,2.17,2.74,2.24,0.04,0.24,2.19,1.19,2.77,6.42,0.99,1.01,2.15,4.42,0.77,1.23,0.87,0.79,0.44,3.56,1.13,2.26,1.15,2.81,4.15,4.84,1.12,1.09,2.92,0.67,0.16,3.32,6.89,0.31,4.17,1.83,3.17,2.14,1.21,0.89,1.75,0.14,3.89,0.39,2.11,1.99,3.75,0.76,1.59,2.55,3.52,0.39,2.1,,,,,,,,,
March,,,,,,,,,,1.61,2.05,2.26,3.69,1.14,2.8,0.95,2.36,4.12,1.62,1.56,1.36,1.24,2.11,3.39,0.89,1.15,3.31,1.58,1.04,0.75,1.24,1.87,1.04,0.92,2.62,1.44,3.19,1.5,3.84,3.28,0.91,1.79,0.89,0.21,1.34,2.13,2.24,3.81,0.6,0.63,1.2,2.19,1.53,3.34,1.7,3.41,1.1,0.55,3.11,2.77,0.91,1.53,4.34,5.38,3.05,0.71,4.23,3.1,1.39,5,3.41,1.56,3.17,1.28,0.99,0.52,0.22,2.82,4.1,0.17,2.77,0.47,1.87,2.6,2.43,0.5,2.9,4.29,0.02,1.25,1.73,2.41,2.66,1.15,,,,,,,,,
April,,,,,,,,,,2.58,1.24,0.62,2.5,1.45,1.03,0.65,1.94,2.46,2.21,0.9,0.63,2.72,2.61,0.89,1.66,1.73,2.42,2.83,3.69,1.98,1.52,0.57,3.49,1.11,1.43,2.59,2.72,1.21,1.7,5.64,1.01,1.53,0.92,0.2,2.16,2.6,0.81,2.13,1.76,2.13,1.06,2.67,2.32,2.31,1.25,2.59,0.93,3.11,2.72,2.02,2.33,0.84,0.17,4.02,1.53,0.74,0.87,1.37,1.83,1.6,4.56,0.72,2.75,2.55,2.53,1.75,2.73,1.17,1.08,0.88,3.11,2.91,2.88,1.02,2.11,4.27,2.11,2.01,0.09,2.89,4.22,0.84,1.71,0.66,,,,,,,,,
May,,,,,,,,,,1.8,2.37,1.42,4.4,0.88,0.71,2.8,0.86,2.94,1.63,4.43,1.22,0.92,1.82,2,0.63,2.43,0.64,2.51,4.8,2.62,2.01,2.15,2.01,1.72,0.57,2,5.49,2.37,1.34,3.81,2.12,3.73,1.67,1.66,2.96,0.43,0.18,1.24,3.85,2.23,2.77,1.21,1.81,4.22,2.11,0.36,1.77,2.26,1.54,0.97,1.52,2.11,3.2,2.19,1.64,3.36,3.07,3.96,1.95,0.33,1.7,1.1,0.45,1.67,5.02,3.34,2.42,1.04,0.86,2.14,1.55,3.43,5.64,2.11,1.43,1.05,0.76,2.6,2.12,0.75,2.33,1.83,3.91,3.6,,,,,,,,,
June,,,,,,,,,,2.05,5.63,2.02,2.85,4.68,1.24,1.44,2.54,0.94,0.33,0.95,0.55,2.28,3.25,3.78,1.3,2.62,0.67,1.55,2.44,5.47,3.23,2.9,2.51,4.3,4.05,2.33,1.71,0.95,2.72,0.41,1.88,3.35,1.91,1.08,1.76,0.93,2.19,3.2,0.84,2.04,1.2,2.15,2.55,2.81,0.97,3.69,3.09,2.13,1.15,2.11,3.66,1.09,4.05,0.77,3.17,0.62,1.63,2.43,0.78,1.08,2.16,0.42,0.64,0.47,2.35,0,1.42,2.87,2.11,1.4,0.65,3.35,1.68,2.15,0.89,3.35,3.85,1.17,1.17,1.78,0.71,1.77,0.17,1.3,,,,,,,,,
July,,,,,,,,,,1.7,1.85,4.78,1.56,0.5,0.75,2.44,0.9,3.68,0.41,0.54,1.16,4.2,7.74,2.35,1.47,6.76,1.28,2.85,1.02,2.8,5.96,1.53,4.63,3.27,3.51,0.31,3.27,1.68,6.06,2.27,3.33,1.7,3.1,2.92,2.6,2.59,1.08,1.69,0.55,0.49,2.68,2.96,0.66,2.52,1.9,0.67,0.5,2.14,1.64,1.61,1.63,0.25,3.88,0.73,4.73,4.5,1.4,2.09,2.74,2.69,4.11,0.5,4.46,2.85,4.46,2.43,2.29,3.37,1.45,1.87,3.05,4.48,2.28,1.8,0.71,0.28,5.8,2.38,2.53,4.27,3.16,2.41,1.25,1.37,,,,,,,,,
August,,,,,,,,,,2.9,4.14,1.09,1.44,2.7,0.75,3.23,3.48,1.92,4.27,0.91,1.17,2.35,1.74,3.5,2.17,1.73,2.47,3.53,7.96,5.78,0.3,4.77,2.37,0.81,2.02,1.95,1.46,1.95,2.4,2.23,2.92,4.9,2.67,1.37,2.97,2.22,1.05,3.92,2.86,1.06,3.25,1.45,3.73,3.53,1.77,3.55,0.91,2.66,3.01,2.02,5.46,1.59,6.22,1.05,1.42,2.45,3.5,5.23,1.87,2.03,0.87,2.55,2.76,2.27,3.15,2.93,2.37,4.89,2.03,1.36,3.45,5.15,1.97,0.64,1.95,1.39,0.23,0.94,3.12,2.17,0.25,3.55,4.52,2.34,,,,,,,,,
September,,,,,,,,,,3.33,2.29,1.85,4.29,2.53,2.69,0.07,5.91,1.84,4.42,5.85,1.65,6.62,1.81,1.49,4.29,2.99,6.86,2.48,2.07,3.43,3.62,1.41,3.02,4.52,1.24,3.13,2.66,2.5,0.79,2.06,1.62,1.37,2.36,0.89,3.78,1.01,5.93,2.6,0.46,2.34,0.4,1.73,1.83,3.04,2.16,1.47,0.68,0.57,1.8,2.72,0.4,1.14,0.67,3.05,1.08,0.86,1.01,2.73,6.12,1.42,1.75,1.68,1.71,2.26,5.19,3.78,0.68,4.95,1.05,0.35,3.49,1.86,3.65,3.03,1.91,3.83,3.02,2.41,1.39,0.63,0.76,1.31,1.4,3.43,,,,,,,,,
October,,,,,,,,,,2.4,1.84,2.03,3.45,4.27,2.24,4.98,2.21,2.89,1.76,1.98,3.72,2.56,3.11,2.12,2.32,5.51,2.44,2.04,3.61,0.83,5.75,2.73,5.8,2.49,1.05,2.75,5.18,2.28,0.91,3.77,1.25,6.7,1.89,2.09,4.96,2.68,2.85,1.84,4.46,2.95,4.1,1.23,3.36,7.4,0.55,1.57,4.19,8.51,2,4.18,3.74,1.77,3.32,3.89,1.81,4.62,4.94,3.36,1.15,2.39,3.5,1.44,0.78,5.69,4.18,3.04,2.77,2.65,5.61,4.83,2.66,0.61,5.37,3.73,1.34,3.8,1.7,3.63,2.93,2.61,4.4,2.01,1.79,2.1,,,,,,,,,
November,,,,,,,,,1,3.77,2.7,3,0.82,2.11,2.17,3.9,1.25,1.24,1.84,1.78,3.25,0.74,5.52,2.11,2.2,4.94,4.62,3.92,2.93,0.76,2.97,3.74,3.82,3.16,1.9,3.27,2.51,3,8.17,1.09,2.05,3.02,2.55,1.22,3.29,4.8,0.7,1.87,1.99,2.3,2.18,0.87,2.64,1.18,1.23,3.69,2.42,2.26,1.05,0.89,3.83,2.75,1.29,3.36,2.88,1.63,3.16,0.74,2.16,1.36,0.73,2.3,1.26,1.77,2.96,1.46,7.87,3.02,2.81,8.55,3.67,5.29,1.43,0.67,2.13,5.76,2.51,1.3,3.29,4.42,6.37,2.69,0.94,1.75,,,,,,,,,
December,,,,,,,,,2.02,3.21,4.86,2.87,1.7,0.76,2.1,2.16,1.63,0.92,6.01,5.04,1.45,1.87,3.89,0.52,2.96,1.75,7.04,1.46,2.47,0.91,3.35,2.38,3.6,0.64,2.59,1.02,4.43,2,3.29,1.22,1.15,3.56,0.78,3.45,1.84,2.13,3.47,3.6,2.58,2.62,5.55,4.48,1.57,2.11,2.19,0.56,1.31,3.71,2.18,4.78,5.79,7.57,3.33,0.88,6.48,5.29,2.11,0.64,2.7,3.28,2.98,1.69,4.36,2.05,4.03,3.19,0.47,2.89,2.53,6.52,3.53,1.35,1.76,0.77,6.07,3.51,4.12,2.22,4.08,1.35,1.42,1.93,4.21,1.63,,,,,,,,,
Total,,,,,,,,,,28.14,33.01,25.94,29.58,25.26,19.18,28.57,29.17,29.1,29.05,33.25,20.18,29.41,41.43,27.49,25.98,38.57,36.3,30.62,35.35,32.13,35.49,28.78,38.4,31.52,26.92,28.24,38.94,22.57,33.01,27.91,22.53,33.57,22.81,20.13,32.63,25.96,21.11,30.51,21.42,25.44,33.78,23.45,23.79,38.12,23.35,23.56,22.21,30.95,21.71,25.57,35.49,22.44,36.76,30.79,31.27,31.98,31.66,28,26.51,27.3,30.69,17.3,29.42,30.83,39.12,29.01,29.12,36.22,30.4,30.21,33.89,32.23,32.76,24.96,24.27,30.62,33.38,30.93,24.42,29.82,30.77,28.29,25.11,27.67,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: Gauge moved approx 200yds NNW in July 1916, although record continued without break.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
