"GRANTHAM LITTLE PONTON RECTORY",,,,,,,,,,,,
Grid ref,SK922321,Long,-0.631437,Lat,52.878475,,,,,,,
Station no,RR1583,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.43,1.29,1.20,1.89,2.37,0.93,3.12,1.09,1.00,0.90,,
February,5.20,1.66,1.58,0.85,3.23,0.83,2.23,1.21,1.46,0.52,,
March,0.87,2.29,1.40,3.40,2.02,2.09,1.85,1.28,2.55,3.68,,
April,1.19,1.94,2.12,2.06,1.32,2.40,0.95,2.28,2.70,1.22,,
May,1.93,1.58,3.00,2.74,2.24,0.65,1.89,3.60,2.14,1.49,,
June,2.24,1.73,2.52,1.74,0.49,3.87,2.62,2.91,1.13,3.59,,
July,1.19,3.00,1.55,1.81,3.85,2.26,1.50,2.85,2.60,3.66,,
August,4.37,1.62,5.04,4.79,2.46,3.13,1.09,2.77,3.04,2.68,,
September,0.47,1.11,1.25,3.49,1.75,3.06,1.41,0.84,1.69,5.30,,
October,2.57,1.65,2.46,6.26,0.65,1.65,4.45,5.17,1.29,3.01,,
November,2.14,1.66,2.00,2.10,1.23,2.71,3.52,2.29,1.15,0.48,,
December,4.34,4.71,2.19,1.04,1.84,0.61,2.80,2.75,1.32,4.27,,
Total,29.94,24.24,26.31,32.17,23.45,24.19,27.43,29.04,22.07,30.80,,
Calc annual,29.94,24.24,26.31,32.17,23.45,24.19,27.43,29.04,22.07,30.80,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
