GRANTHAM - LITTLE PONTON RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK923322,Long,-0.630,Lat,52.879,Elevation,250,ft,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,2.51,1.70,0.70,1.62,2.75,1.68,1.23,1.95,2.09,3.75,1.05,2.45,0.78,2.62,3.43,1.29,1.20,1.89,2.37,0.93,3.12,1.09,1.00,0.90,2.12,1.42,3.48,3.48,1.53,3.05,1.25,2.58,2.26,4.05
February,0.17,0.67,1.10,1.85,1.26,0.16,2.44,2.92,2.29,0.36,0.90,3.30,0.74,1.60,5.20,1.66,1.58,0.85,3.23,0.83,2.23,1.21,1.46,0.52,2.96,1.79,1.86,0.81,1.31,3.80,4.82,0.98,1.85,3.29
March,2.24,1.41,2.70,2.59,2.15,1.39,1.52,0.26,0.79,2.39,2.37,2.68,2.02,0.59,0.87,2.29,1.40,3.40,2.02,2.09,1.85,1.28,2.55,3.68,0.93,1.96,3.24,3.61,2.86,1.65,5.07,1.47,1.05,3.92
April,1.80,0.94,1.87,3.03,0.81,2.30,1.66,0.37,2.10,1.74,1.12,2.02,2.15,2.26,1.19,1.94,2.12,2.06,1.32,2.40,0.95,2.28,2.70,1.22,1.92,0.82,0.24,2.14,1.45,1.11,1.39,1.70,2.21,2.22
May,4.84,2.03,1.06,4.65,2.60,3.35,2.21,1.31,2.39,0.78,0.58,1.78,3.19,3.61,1.93,1.58,3.00,2.74,2.24,0.65,1.89,3.60,2.14,1.49,2.68,2.39,3.16,2.25,2.10,2.05,2.33,2.25,1.58,2.25
June,1.17,0.60,1.45,0.50,1.64,1.81,2.35,1.02,1.91,1.04,2.67,2.18,1.34,1.46,2.24,1.73,2.52,1.74,0.49,3.87,2.62,2.91,1.13,3.59,1.82,2.58,4.15,0.97,2.74,1.37,1.84,1.48,0.40,0.94
July,2.64,1.25,4.53,1.90,2.23,3.63,2.67,3.90,2.63,2.75,1.53,2.60,1.47,1.86,1.19,3.00,1.55,1.81,3.85,2.26,1.50,2.85,2.60,3.66,3.30,0.22,5.54,0.71,2.88,6.58,2.05,1.74,2.84,4.89
August,2.17,0.75,2.52,3.72,2.04,3.94,1.83,2.43,3.20,1.46,1.55,4.59,3.41,1.08,4.37,1.62,5.04,4.79,2.46,3.13,1.09,2.77,3.04,2.68,3.03,1.39,6.40,0.92,1.64,2.52,3.81,7.15,1.70,3.03
September,1.70,2.68,1.27,2.53,1.03,1.20,2.56,1.32,1.16,0.45,4.55,2.60,0.59,3.71,0.47,1.11,1.25,3.49,1.75,3.06,1.41,0.84,1.69,5.30,1.24,1.97,1.36,2.47,1.12,0.95,1.64,1.51,4.38,2.08
October,4.61,1.95,0.65,3.65,1.10,4.58,5.10,1.99,3.17,3.57,4.25,0.97,3.26,2.79,2.57,1.65,2.46,6.26,0.65,1.65,4.45,5.17,1.29,3.01,2.15,2.84,2.36,3.81,2.32,1.21,2.22,3.76,1.73,1.99
November,2.42,2.16,3.85,0.67,3.71,3.29,1.19,2.69,2.34,3.84,1.19,1.60,2.70,1.47,2.14,1.66,2.00,2.10,1.23,2.71,3.52,2.29,1.15,0.48,3.88,2.82,2.28,2.44,3.68,2.75,3.86,1.23,2.06,2.20
December,3.53,1.60,1.53,1.84,1.18,3.17,1.15,2.19,2.05,2.30,3.90,1.99,2.12,2.02,4.34,4.71,2.19,1.04,1.84,0.61,2.80,2.75,1.32,4.27,6.29,4.56,3.80,0.88,5.31,5.04,2.97,0.80,2.84,4.09
Total,29.80,17.74,23.23,28.55,22.50,30.50,25.91,22.35,26.12,24.43,25.66,28.76,23.77,25.07,29.94,24.24,26.31,32.17,23.45,24.19,27.43,29.04,22.07,30.80,32.32,24.76,37.87,24.49,28.94,32.08,33.25,26.65,24.90,34.95
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_16_pt1/027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
