"FAVERSHAM (SEWAGE DISP. WORKS)",,,,,,,,,,,,
Grid ref,TR023617,Long,0.901730,Lat,51.318427,,,,,,,
Station no,314/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.83,1.78,0.91,2.16,3.03,4.45,1.61,2.34,2.07,2.87,,
February,5.77,1.02,0.95,1.83,1.66,2.51,3.06,2.72,0.06,2.10,,
March,2.61,2.97,0.16,2.20,1.54,0.40,0.99,1.57,2.12,1.77,,
April,1.75,0.89,1.43,0.20,0.23,0.97,0.34,1.60,2.41,0.77,,
May,2.38,0.86,1.71,1.67,4.61,0.76,1.21,1.88,1.06,1.77,,
June,1.74,2.62,2.36,3.63,1.83,1.72,1.29,4.97,1.20,1.66,,
July,1.49,0.77,2.81,1.89,2.76,2.50,3.42,1.81,1.58,2.30,,
August,2.74,2.82,1.41,3.87,2.31,4.53,1.89,3.30,1.47,4.81,,
September,3.81,5.15,3.59,1.23,1.19,2.18,2.58,2.46,0.25,2.31,,
October,1.12,1.89,2.15,2.06,5.09,1.32,0.95,3.91,2.50,5.90,,
November,3.63,3.56,1.91,5.30,1.05,0.68,3.59,1.77,4.38,5.23,,
December,2.41,2.27,0.95,1.39,1.60,2.97,2.15,3.25,5.06,3.70,,
Total,32.28,26.60,20.34,27.43,26.90,24.99,23.08,31.58,24.16,35.19,,
Calc annual,32.28,26.60,20.34,27.43,26.90,24.99,23.08,31.58,24.16,35.19,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
