CATERHAM-ASYLUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ326558,Long,-0.099948,Lat,51.28591,Elevation,610,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,3.69,2.78,0.5,2.76,5.08,1.92,1.26,2.92,0.98,4.07,4.21,1.37,0.93,2.65,5.44,1.24,6.03,1.36,1.98,1.33,2.69,1.73,2.75,4.28,0.92,4.45,1.92,1.83,3.81,4.46,3.72,3.32,4.17,1.7,3.37,,,,,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.99,0.16,1.33,4.19,2.24,0.22,0.41,2.9,1.05,3.05,5.58,1.88,1.2,1.73,3.63,0.96,3.02,2.02,1.41,0.75,4.42,2,2.51,1.29,4.97,5.55,5.42,1.03,1.92,3.05,0.7,0.54,3.37,4.15,0.79,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,3.09,2.41,1.44,0.95,1.63,1.67,4.08,4.7,2.13,1.01,0.91,3.15,1.95,3.44,1.97,4.45,1.7,1.14,3.19,3.88,1.41,2.34,4.4,3.74,5.64,1.05,5.06,1.81,1.12,4.43,1.46,1.65,2.88,2.02,1.67,,,,2.97,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,2.72,0.94,1.18,0.03,2.48,1.99,1.01,1.95,0.85,3.6,1.3,2.43,0.89,2.54,1.59,1.8,0.68,4.08,3.06,2.13,1.9,2.24,0.06,3.35,1.18,1.78,1.73,2.77,5.03,3.39,3.16,1.68,3.65,2.98,4.24,,,,2.26,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.98,3.27,1.21,1.1,1.37,0.41,0.09,1.81,3.75,1.64,1.3,1.88,2.86,3.13,2.74,0.78,1.6,2.4,2.39,1.52,2.77,2.46,1.18,1.35,1.33,3.02,3.08,1.94,2.29,0.1,0.81,2.77,1.37,3.07,4.08,,,,2.22,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.79,2.23,4.98,1,2.41,0.44,2.66,1.73,1.89,1.21,3.1,1.84,4.65,6.43,1.03,6.41,1.91,2.19,1.76,3.04,2.04,2.38,3.56,0.38,0.67,0.97,3.14,2.05,0.8,1.05,2,0.21,1.54,0.54,2.72,,,,2.76,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.49,4.6,2.35,3.86,4.76,4.17,2.1,1.23,0.59,2,1.3,1.4,1.62,4.09,1.3,0.65,0.56,1.63,3.73,3.7,2.84,0.29,1.95,2.6,2.67,4.7,1.12,4.79,5.12,2.17,5.23,0.25,3.44,3.64,4.4,,,,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,3.09,5.66,3.49,0.6,2.86,2.53,2.93,3.13,1.25,0.62,3.39,2.25,3.2,6.9,1.78,2.73,1.01,3.62,4.58,2.47,3.17,0.51,6.03,2.2,1.52,3.06,3.52,6.44,1.16,3,1.74,1.96,3.03,2.8,3.4,,,,3.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.85,1.1,2.68,1.42,1.89,0.4,8.48,2.85,0.7,2.54,1.58,2.08,0.84,2.63,1.46,2.42,2.09,0.78,1.47,3.35,1.12,1.5,3.63,1.53,1.06,2.46,1.6,2.47,5.5,1.35,4.12,1.4,2.16,1.97,4.08,,,,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,1.5,6.99,4.42,4.26,4.4,3.81,5.02,0.65,4.13,2.46,2.27,3.84,2.31,8.08,2.5,1.57,4.21,3.93,2.48,5.93,3.14,4.94,3.44,4.33,1.92,2.67,5.84,4.54,2.21,0.9,2.14,1.03,1.45,6.99,3.81,,,,6.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
