SOUTHAMPTON-BITTERNE-MOORLANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU453139,Long,-1.35679,Lat,50.92279,Elevation,200,ft,,,,,,,,,,,,
Station no,RR8945,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.75,0.94,3.46,1.29,3.8,5.57,0.59,,,,,
February,,,,,,,,,1.31,0.29,3.57,1.39,2.57,1.3,4.6,,,,,
March,,,,,,,,,2.45,3.62,1.21,2.81,3.76,3.36,4.94,,,,,
April,,,,,,,,,3.46,1.21,2.29,1.81,0.37,2.33,1.64,,,,,
May,,,,,,,,,1.79,1.42,1.22,2.29,1.37,3.17,1.21,,,,,
June,,,,,,,,,0.81,5.46,3.45,1.62,4.11,0.68,0.44,,,,,
July,,,,,,,,,1.6,2.52,2.32,0.16,2.61,1.07,2.71,,,,,
August,,,,,,,,,3.97,2.11,2.19,0.72,6.56,1.19,2.68,,,,,
September,,,,,,,,,2.68,3.48,0.11,1.08,1.67,3.67,1.46,,,,,
October,,,,,,,,,1.46,8.65,3.73,4.15,4.74,4.06,2.18,,,,,
November,,,,,,,,,1.14,0.76,3.77,4.43,1.92,3.51,3.78,,,,,
December,,,,,,,,,3.58,4.19,5.41,8.06,4.15,1.86,10.14,,,,,
Total,,,,,,,,,26,34.65,32.73,29.81,37.63,31.77,36.37,,,,,
