HUTTONS AMBO - MINSTER HILL,,,,,,,,,,
Grid ref,SE764683,Long,-0.833,Lat,54.105,Elevation,75,ft,,
Station no,RR6001,,,,,,,,,
,,,,,,,,,,
,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922
January,,1.32,3.46,0.61,3.04,1.56,2.26,2.90,2.13,1.70
February,,1.23,3.20,2.75,0.56,2.21,1.15,0.78,0.14,1.93
March,,1.78,1.55,2.38,1.73,1.10,3.04,2.02,1.02,1.58
April,,0.48,0.95,1.84,1.68,0.85,1.14,3.12,1.37,
May,,1.79,1.03,2.31,0.92,2.09,0.58,1.70,1.51,1.61
June,,2.30,0.23,1.80,0.98,0.75,0.58,0.74,0.15,
July,,4.15,4.42,2.73,1.04,3.64,2.75,5.00,1.32,
August,,1.51,1.82,2.52,6.42,1.75,1.97,1.67,3.84,3.22
September,,1.82,0.91,0.96,0.63,4.87,0.88,1.23,0.81,1.73
October,,2.00,0.65,2.62,3.18,1.11,3.98,1.62,1.69,0.91
November,1.95,2.17,1.63,2.26,1.72,1.36,2.14,0.94,1.76,10.05
December,1.62,4.45,4.01,2.20,1.46,3.30,3.63,2.08,1.82,3.94
Total,,25.00,23.86,24.98,23.36,24.59,24.10,23.80,17.56,
,,,,,,,,,,
TYRain_1910-1919_21_pt1/009,,,,,,,,,,
TYRain_1920-1930_23_pt1/218,,,,,,,,,,
,,,,,,,,,,
# The rain gauge is shown on the 1938-1950 OS map.,,,,,,,,,,
