"BARDNEY (SUGAR FACTORY)",,,,,,,,,,,,
Grid ref,TF113688,Long,-0.335089,Lat,53.204629,,,,,,,
Station no,2556/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,1.65,0.89,1.12,1.69,4.54,1.26,2.52,2.70,4.44,,
February,2.57,0.53,1.67,2.78,2.35,1.07,2.05,3.41,0.21,1.96,,
March,3.16,2.70,1.01,1.60,2.43,1.05,1.47,1.85,1.79,1.18,,
April,1.36,1.07,1.95,0.23,0.90,1.26,0.14,0.37,1.32,0.90,,
May,2.95,1.61,2.91,2.25,2.76,0.50,1.25,2.21,0.43,0.52,,
June,1.16,1.92,2.22,2.16,3.94,2.60,2.60,3.91,0.56,0.49,,
July,0.47,0.27,1.45,1.42,0.44,3.07,2.89,4.67,1.46,3.46,,
August,4.26,1.53,1.94,4.14,0.47,4.09,2.69,3.23,0.72,3.32,,
September,0.80,2.03,0.96,1.84,1.88,1.36,3.60,2.40,0.10,2.23,,
October,1.30,2.45,2.43,3.11,1.31,1.01,1.19,1.42,1.68,5.19,,
November,3.92,2.06,1.47,4.39,1.21,0.74,1.93,0.95,1.87,3.75,,
December,1.34,1.65,0.85,2.27,1.61,1.28,1.71,2.86,3.41,3.30,,
Total,25.68,19.47,19.75,27.31,20.99,22.57,22.78,29.80,16.25,30.74,,
Calc annual,25.68,19.47,19.75,27.31,20.99,22.57,22.78,29.80,16.25,30.74,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
