BARDNEY SUGAR FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TF113688,Long,-0.335,Lat,53.205,Elevation,17,ft,,,,,,,,,,,,,,,,,
Station no,2556/5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.10,3.61,2.22,4.02,1.93,2.49,2.74,4.38,2.25,2.02,1.69,,3.84,1.02,0.92,2.39,1.65,0.89,1.12,1.69,4.54,1.26,2.52,2.70,4.44
February,2.12,2.16,1.12,0.84,2.02,2.96,1.41,0.57,2.21,1.73,2.01,,0.88,0.59,3.94,2.57,0.53,1.67,2.78,2.35,1.07,2.05,3.41,0.21,1.96
March,1.04,1.94,0.20,2.14,1.69,2.91,1.16,0.30,0.24,0.73,1.07,,0.32,0.93,0.65,3.16,2.70,1.01,1.60,2.43,1.05,1.47,1.85,1.79,1.18
April,1.40,2.71,0.11,1.79,1.21,0.65,0.84,1.02,2.13,1.50,1.53,,1.30,1.86,2.64,1.36,1.07,1.95,0.23,0.90,1.26,0.14,0.37,1.32,0.90
May,0.45,3.60,3.25,1.34,0.96,1.81,2.81,2.63,1.51,1.41,1.90,,1.82,1.39,2.29,2.95,1.61,2.91,2.25,2.76,0.50,1.25,2.21,0.43,0.52
June,4.00,1.31,0.80,3.01,0.66,0.20,1.30,1.53,1.37,2.81,2.75,,4.47,0.42,1.40,1.16,1.92,2.22,2.16,3.94,2.60,2.60,3.91,0.56,0.49
July,4.45,3.38,3.89,3.41,4.59,5.01,2.08,0.87,1.80,1.55,2.30,,1.82,3.41,2.53,0.47,0.27,1.45,1.42,0.44,3.07,2.89,4.67,1.46,3.46
August,1.19,0.95,2.07,2.62,0.73,2.93,1.61,2.54,2.73,1.87,4.28,,2.54,1.42,1.64,4.26,1.53,1.94,4.14,0.47,4.09,2.69,3.23,0.72,3.32
September,1.97,0.93,1.64,1.05,0.62,0.56,1.53,3.35,2.71,1.60,3.49,,2.51,0.44,4.38,0.80,2.03,0.96,1.84,1.88,1.36,3.60,2.40,0.10,2.23
October,2.27,1.79,2.13,3.34,2.86,2.92,2.18,1.22,2.69,2.14,1.49,,2.28,3.35,0.62,1.30,2.45,2.43,3.11,1.31,1.01,1.19,1.42,1.68,5.19
November,2.28,1.34,2.29,4.01,3.76,2.78,1.79,1.91,3.97,0.57,4.61,,1.04,2.62,4.12,3.92,2.06,1.47,4.39,1.21,0.74,1.93,0.95,1.87,3.75
December,1.40,1.97,4.77,1.89,1.99,0.57,1.85,0.62,1.33,1.71,2.76,,3.02,1.55,1.60,1.34,1.65,0.85,2.27,1.61,1.28,1.71,2.86,3.41,3.30
Total,25.67,25.69,24.49,29.46,23.02,25.79,21.30,20.94,24.94,19.64,29.88,,25.84,19.00,26.73,25.68,19.47,19.75,27.31,20.99,22.57,22.78,29.80,16.25,30.74
,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_15_pt1/137,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/221,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/222,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# The station continued until 1994 according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,
