WATERFORD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IS6031712537,Long,-7.1172,Lat,52.2615,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.9,3.33,2.93,2.52,4.88,5.23,5.15,1.62,,,,5.26,,,,,,,,6.05,3.62,7.34,4.13,3.75,4.29,5.41,3.55,5.52,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,4.61,4.54,2.64,3.52,1.88,2.31,4,1.75,,,,1.86,,,,,,,,1.34,3.02,1.42,1.47,1.77,3.17,2.7,2.93,2.82,2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,4.2,3.55,2.22,3.22,1.55,3.73,2.16,2.43,,,,2.32,,,,,,,,1.31,3.15,4.35,3.67,3.18,1.7,3.51,4.71,3.63,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1,2.13,0.55,3.5,1.23,2.15,,2.67,2.36,,,,0.86,,,,,,,,2.19,2.44,4.86,0.95,1.85,1.1,2.41,3.03,3.04,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.83,1.91,2.53,2.97,0.33,0.9,1.44,4.53,0.66,,,,3.85,,,,,,,,3.35,0.39,2.37,1.18,1.67,4.54,1.28,5.19,2.61,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.33,3.07,1.91,2.19,2,3.16,2.41,1.12,1.75,,,,6.57,,,,,,,,6.54,3.82,3.48,2.18,1.2,0.68,3.93,0.93,0.93,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,2.33,2.01,3.86,1.32,2.22,3.77,2.9,1.73,1.8,,,,0.78,,,,,,,,2.44,7.44,3.48,1.17,1.73,3.62,0.85,5.02,1.64,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,2.77,5.13,2.38,3.51,4.1,2.15,5.95,1.45,4.04,,,,3.68,,,,,,,,5.39,4.44,2.63,4.64,1.53,5.08,3.47,3.85,6.39,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,2.21,4.3,3.99,2.85,2.29,3.1,3.18,1.27,1.4,,,,2.37,,,,,,,,2.29,5.65,3.24,3.82,3.23,0.55,3.96,2.53,6.9,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.72,6.34,0.27,3.18,4.7,3.74,6.05,3,4.61,,,,3.44,,,,,,,,2.77,3.58,4.32,6.6,5.05,4.07,2.62,3.88,3.72,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,6.33,3.89,5.32,4.48,6.83,4.41,5.45,2.15,1.08,,,,8.87,,,,,,,,3.54,2.5,2.7,4.05,4.91,6,2.34,2.2,4.58,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,3.4,3.23,2.69,1.36,3.03,2.06,0.89,6.27,3.33,,,,7.26,,,,,,,,3.65,3.78,5.04,3.24,4.59,6.22,3.57,1.33,9.81,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,43.72,34.92,33.15,35.99,33.75,,35.5,26.83,,,,47.12,,,,,,,,40.86,43.83,45.23,37.1,34.46,41.02,36.05,39.15,51.59,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
