OSBORNE NEWBARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ513954,Long,-1.274106,Lat,50.755937,Elevation,172,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.14,1.97,4.1,0.59,2.6,4.13,1.7,4.48,4.48,3.72,3.68,3.82,1.81,3.3,5.68,4.62,1.82,4.3,0.93,6.54,1.18,3.69,0.28,2.08,1.51,2.82,3,2.23,4.23,3.34,1.16,1.03,3.82,2.79,1.15,1.83,4.65,3.42,0.92,2.56,0.76,3.33,3.92,1.3,1.14,2.2,4.77,1.02,7.05,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.36,2.13,0.83,2.1,0.9,0.98,1.43,2.51,4.88,2.26,1.5,2.79,2.32,1.53,2.28,2.77,2.18,2.74,3.02,1.8,2.26,3.77,3.05,2.78,1.58,3.95,2.4,3.07,0.68,0.77,0.86,1.51,0.76,0.05,0.97,3.37,2.44,0.07,0.24,3.45,2.27,3.25,5.33,1.44,1.46,1.91,4.15,0.62,3.66,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.02,1.48,2.19,2.4,4.4,0.76,3.3,0.97,2.2,2.78,1.68,2.18,1.58,1.24,2.68,2.1,0.46,0.69,3.74,1.88,1.11,0.5,1.03,2.09,0.58,0.63,2.21,1.69,2.18,0.91,3.63,2.15,1.01,2.64,1.05,0.65,1.49,1.79,2.93,4.81,0.37,0.81,1.06,2.59,2.05,3.13,1.17,5.24,1.36,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.21,2.3,1.6,0.45,1.5,0.48,1.73,0.67,1.52,1.82,2.75,0.98,0.28,4.12,1.05,1.25,2.7,1.07,1.62,2.08,2.4,2.62,1.43,0.7,3.3,0.92,1.29,1.04,1.46,0.97,1.25,1.74,2.81,0.93,0.61,0.02,1.92,2.17,0.46,2.15,1.05,2.74,1.3,2.44,1.62,2.7,1.5,1.83,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.54,1.5,3.3,1.56,3.9,1.92,1.4,2.52,1.2,1.93,1.25,4.38,1.42,0.35,2.28,1,0.61,1.21,0.15,2.37,3.15,2.12,0.32,1.48,0.84,2.44,1.12,3.62,3.42,1.21,1.81,2.15,1.75,2,0.78,0.84,1.21,0.37,0.43,1.57,3.59,0.83,1.38,0.5,1.85,2.72,3.65,0.37,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.57,1.2,5.38,2.54,1.5,3.02,1.3,2.36,1.64,1.62,0.54,2.78,0.18,2.48,2.4,1.54,1.63,1.97,1.1,0.54,1.52,4,2.73,1.7,3.35,1.61,2.52,1.32,0.45,0.96,2.61,0.35,2.36,1.38,1.28,1.09,1.58,1.07,1.45,2.74,1.48,1.21,2.33,1.62,2.6,2.53,0.95,4.29,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,2.89,4.03,2.39,3.1,1.7,0.63,0.15,2.54,1.51,3.71,0.52,1.14,0.72,4.07,2.84,1.96,0.75,3.23,0.39,2.67,0.93,3.52,3.43,1.44,2.51,2.31,1.81,0.71,2.83,0.75,4.02,2.38,2.76,2.26,2.37,4.72,4.64,3.27,1.14,0.43,0.23,0.86,1.01,2.68,1.5,2.2,1.17,0.24,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,2.4,1.16,4.41,0.66,1.8,2.18,0.96,3.28,2.6,2.52,4.68,0.6,2.09,1.44,1.86,1.65,2.46,1.05,3.02,3.12,2.94,5.01,1.01,4.76,1.96,1.24,1.82,0.45,1.34,2.04,1.85,2.2,4.48,5.89,2.31,0.75,1.97,2.67,2.11,3.92,1.92,0.65,2.34,1.74,4.18,3.76,2.86,2.25,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.4,4.6,4.08,3.65,1.9,5.4,4.1,0.04,8.66,2.16,3.82,5.82,1.93,6.12,1.97,2.45,2.96,1.43,4.14,1.62,2.2,3.47,5.3,1.81,1.77,3.73,2.24,4.66,1.76,4.28,0.9,0.66,0.7,1.35,3.02,1.7,3.23,0.15,8.09,2.49,1.03,2.16,0.97,2.1,0.98,2.6,2.41,2.59,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.89,5.12,2.3,1.7,7,3.62,1.27,8.1,1.6,3.56,3,2.25,4.46,1.92,5.88,3.71,4.67,5.11,1.86,2.76,3.2,0.82,4.37,1.35,6.63,2.57,1.01,3.96,4.48,1.42,2,6.58,0.94,8.69,4.39,4.16,4.85,3.85,2.92,0.48,4.56,2.15,2.75,3.24,2.25,8.25,2.38,2.43,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
