MANCHESTER SALFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ800980,Long,-2.3028173,Lat,53.478341,Elevation,100,ft,,,,,,,,,,,,
Station no,RR388,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799
January,,,,,,,2.5,1,1.75,2,2.25,5.5,2,2.75,,,,,,
February,,,,,,,1.5,3.5,1.7,5.35,1.25,3,2,3.75,,,,,,
March,,,,,,,2.17,3,2.5,1.5,1,1.5,2.75,2.5,,,,,,
April,,,,,,,0.9,1.75,1.8,2.7,2.25,4.75,2.5,1.75,,,,,,
May,,,,,,,3.5,2.75,1.8,4.5,3.25,2.75,8,1.5,,,,,,
June,,,,,,,4,2.5,1,6.5,5.5,0.75,3.5,2.65,,,,,,
July,,,,,,,2.7,7.7,4.8,7.25,5.75,3.5,3.75,1.25,,,,,,
August,,,,,,,6.5,3.7,3.75,0.8,4.5,6,6.25,6.5,,,,,,
September,,,,,,,7.8,2.17,2,4.25,3.75,1.42,9,3.3,,,,,,
October,,,,,,,2.75,9,2.8,5.75,2.75,4.5,4,4.5,,,,,,
November,,,,,,,1.43,5.7,2.35,4.75,3.25,4.5,2,2.5,,,,,,
December,,,,,,,4.7,4.8,1,5.7,7.25,5.83,9.5,3.55,,,,,,
Total,,,,,,,40.45,47.57,27.25,51.05,42.75,44,55.25,36.5,,,,,,
,,,,,,,,,,,,,,,,,,,,
NOT USED TYRain_1677-1886_A_pt1-page-182.csv - same observer and almost complete duplication of data. Differences within 0.01 therefore most likely rounding errors from original 3 decimal places,,,,,,,,,,,,,,,,,,,,
No indication of precise location at all so NGR for centre of Salford Borough Cemetery as was in 1883 OS map,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
