CRAWLEY-COUNTY-OAK-SW,,,,,,,,,,
Grid ref,TQ268386,Long,-0.189146,Lat,51.132647,Elevation,210,ft,,
Station no,586/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.95,1.16,1.58,3.8,4.64,2.43,,,
February,7.27,0.92,1.4,2.76,1.92,0.42,5.01,,,
March,4.06,3.41,0.49,3.58,1.43,,1.48,,,
April,2.77,2.09,2.66,0.31,0.33,,,,,
May,2.68,2.14,1.7,2.32,4.4,,,,,
June,2.01,1.17,1.66,4.05,2.44,,,,,
July,2.12,0.8,3.38,3.19,0.22,3.26,,,,
August,4.95,2.83,1.86,2.95,1.29,3.8,,,,
September,3.37,3.37,4.65,2.56,2.39,3.21,,,,
October,1.53,3.54,4.67,2.75,4.05,1.87,,,,
November,6.85,4.07,1.88,7.24,1.7,1.08,,,,
December,3.72,2.67,0.83,2.87,3.79,4.99,,,,
Total,,29.96,26.34,36.16,27.76,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1951 Jan estimated,,,,,,,,,,
