"BOURNE END",,,,,,,,,,,,
Grid ref,SU890879,Long,-0.716890,Lat,51.582941,,,,,,,
Station no,998,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,1.74,0.95,1.12,2.70,4.67,,,,,,
February,5.16,0.83,1.87,2.36,1.65,1.08,,,,,,
March,3.92,2.69,0.61,2.38,0.78,0.76,,,,,,
April,3.00,1.94,2.02,0.46,0.69,1.81,,,,,,
May,3.74,2.55,1.67,3.18,4.24,0.22,,,,,,
June,1.54,1.38,2.13,3.17,2.13,2.03,,,,,,
July,1.12,0.48,3.27,2.12,0.37,3.14,,,,,,
August,3.71,3.27,2.03,3.62,0.72,4.85,,,,,,
September,3.10,3.00,1.80,1.82,1.99,3.19,,,,,,
October,0.97,3.89,2.71,2.15,3.00,1.85,,,,,,
November,6.36,3.26,1.28,4.11,1.63,0.54,,,,,,
December,1.62,3.07,0.72,2.80,2.72,2.59,,,,,,
Total,37.01,28.10,21.06,29.29,22.62,26.73,,,,,,
Calc annual,37.01,28.10,21.06,29.29,22.62,26.73,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,,
