MIDHURST-BEPTON-FAIRFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU867200,Long,-0.766531,Lat,50.972899,Elevation,154,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,8.03,1.04,1.4,1.36,3.18,1.68,3.7,6.29,,,,,,7.38,4.01,3.93,5.13,1.92,2.94,4.33,5.91,2.11,5.92,,
February,,,,,,,3.89,1.73,1.37,0.48,3.96,1.37,3.12,1.32,,,,,,2.29,0.39,0.16,3.19,7.07,0.51,5.61,2.37,5.68,2.22,,
March,,,,,,,1.28,0.57,3.37,5.59,2.09,2.63,5.37,3.58,,,,,,4.81,2.65,1.32,2.39,2.42,1.86,0.56,0.44,4.36,2.52,,
April,,,,,,,0.61,4.26,2.08,1.67,2.57,1.41,0.23,3.41,,,,,,2.42,3.4,1.29,3.82,3.76,3.63,3.28,3.43,1.96,2.16,,
May,,,,,,,1.95,2.21,2.27,2.11,1.67,1.9,1.1,2.75,,,,,,0.35,1.43,2.21,0.88,2.7,4.42,4.78,3.03,2.2,,,
June,,,,,,,2.04,2.97,1.11,3.23,2.88,1.92,3.49,0.51,,,,,,0.65,1.44,0.05,1.31,0.39,2.62,0.09,2.38,3.18,,,
July,,,,,,,0.41,1.75,2.63,2.35,2.25,0.99,2.06,2.53,,,,,,1.21,6.36,0.24,4.26,1.01,4.72,4,1.86,3.38,,,
August,,,,,,,1.19,1.78,3.34,2.46,2.94,0.77,7.35,1.46,,,,,,3.17,1.56,2.67,2.92,2.76,2.58,4.23,1.44,4.18,,,
September,,,,,,,1.15,0.53,2.54,3.37,0.14,1.54,2.9,3.51,,,,,,1.36,2.34,0.91,1.95,2.2,4.87,2.83,0.49,6.54,,,
October,,,,,,,5.78,6.78,2.93,8.89,4.09,4.92,5.21,5.31,,,,,,0.41,3.3,0.57,1.21,6.94,4.61,4.46,2.59,2.64,,,
November,,,,,,,5.19,3.27,1.1,0.48,3.34,5.44,2.04,3.97,,,,,,2.21,2.01,2.07,2.52,1.29,2.42,4.56,9.16,4.15,,,
December,,,,,,,2.19,4.03,3.57,5.43,6.76,10.7,4.28,1.8,,,,,,6.31,4.06,2.2,4.78,3.87,5.24,3.45,0.24,5.56,,,
Total,,,,,,,33.71,30.92,27.71,37.42,35.87,35.27,40.85,36.44,,,,,,32.57,32.95,17.62,34.36,36.33,40.42,42.18,33.34,45.94,,,
