WIDDRINGTON,,,,,,,,,,
Grid ref,NZ256955,Long,-1.5988201,Lat,55.253019,Elevation,110,ft,,
Station no,RR6598,,,,,,,,,
,,,,,,,,,,
,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729
January,,,,1.23,,,0.57,,,
February,,,,0.48,,,0.92,,,
March,,,,0.2,,,0.74,,,
April,,,1.01,,,,1.37,,,
May,,,3.53,,,4.07,1.55,,,
June,,,2.57,,,4.79,3.24,,,
July,,,4.35,,,2.03,2.48,,,
August,,,2.13,,,4.14,1.49,,,
September,,,1.16,,,3.93,4.29,,,
October,,,0.6,,,1.64,1.36,,,
November,,,2.21,,,1.39,1.94,,,
December,,,1.78,,,0.85,1.8,,,
Total,,,,,,,21.75,,,
,,,,,,,,,,
ERROR_TYRain_1820-1829_C_pt1-page-075.csv NOT USED - data on record duplicate of those on page 52; transcription two full years of -999 so completely wrong in any case.,,,,,,,,,,
