WIDDRINGTON,,,,,,,,,,
,,,,,,,,,,
Station no,RR6598,,,,,,,,,
,,,,,,,,,,
,1720,1721,1722,1723,1724,1725,1726,1727,1728,1729
January,,,-999,-999,,,,,,
February,,,-999,-999,,,,,,
March,,,-999,-999,,,,,,
April,,,-999,-999,,,,,,
May,,,-999,-999,,,,,,
June,,,-999,-999,,,,,,
July,,,-999,-999,,,,,,
August,,,-999,-999,,,,,,
September,,,-999,-999,,,,,,
October,,,-999,-999,,,,,,
November,,,-999,-999,,,,,,
December,,,-999,-999,,,,,,
Total,,,-999,-999,,,,,,
Calc annual,0,0,-999,-999,0,0,0,0,0,0
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
