EARLSWOOD (FULFORD HALL),,,,,,,,,,,,,,,,,,,,
Grid ref,SP095750,Long,-1.8618839,Lat,52.372963,Elevation,505,ft,,,,,,,,,,,,
Station no,2470/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,1.1,2.62,3.8,3.85,6.45,2.37,3.62,3.29,5.26,2.78,2.14,2.54,2.62,5.44,1.69,0.52
February,,,,,2.65,3.25,5.02,0.75,1.64,3.1,3.01,0.85,1.44,1.55,2.75,2.32,1.45,1.43,0.87,5.2
March,,,,,0.74,2.35,3.07,0.41,1.66,1.87,2.55,2.48,1.11,0.29,1.01,1.22,5.85,1.24,2.07,1.09
April,,,,,4.16,1.73,2.29,0.05,2.13,3.1,1.38,1.57,0.9,1.97,0.93,2.97,2.43,1.54,2.5,2.32
May,,,,,1.44,1.03,0.98,1.59,1.27,2.78,3.13,3.49,3.95,0.81,2.56,2.65,2.28,3,2.93,1.66
June,,,,,3.14,4.65,3.12,1.9,2.26,0.45,1.61,0.06,2,1.44,3.23,3.13,1.04,3.66,0.43,2.15
July,,,,,0.62,5.67,0.71,3.73,4.52,1.38,4.13,2.05,1.44,3.54,1.68,1.77,2.75,1.88,2.16,
August,,,,,1.69,1.38,1.79,3.48,3.35,0.25,4.65,3.5,1.8,1.9,1.65,5.62,0.28,4.44,1.35,
September,,,,,3.57,2.61,2.98,2.75,1.12,1.82,0.92,1.36,1.53,4.22,1.6,4.61,1.49,3.02,1.51,
October,,,,,3.6,1.93,1.77,3.27,3.12,3.85,2.89,2.94,2.13,3.61,3.9,0.66,0.63,2.83,5.97,
November,,,,,5.97,2.73,3.54,3.46,4.81,8.12,3.22,1.52,1.5,5.56,0.41,6.53,1.97,1.7,3.8,
December,,,,,4,2.63,2.34,5.1,2.8,1.67,1.8,3.87,1.28,2.03,3.79,2.85,2.71,5,1.41,
Total,,,,,32.68,32.58,31.41,30.34,35.13,30.76,32.91,26.98,24.34,29.7,25.65,36.87,25.5,35.18,26.69,
,,,,,,,,,,,,,,,,,,,,
3056,EARLSWOOD: FULFORD HALL ,01/01/1935,31/12/1950,,,,,,,,,,,,,,,,,
